Phrase	Grammar	Transcription	Translation	Notes
جواز السفر		jawāz əs-safar	paszport	
اسم		əsm	imię	
أنا		ana	ja	
انتي		ənti	ty	
استراليا		Ostrālya	Australia	
معلمة		mʿallme	nauczycielka	
استرالية		ostraliyye	australijska	
بلد		balad	kraj; państwo	
بسبور		basbōr	paszport	
الشام		əš-Šām	Damaszek	
حلو، حلوة		ḥəlw, ḥəlwe	słodki, słodka	
بعيد، بعيدة		bʿīd, bʿīde	daleki, daleka	
كثير		ktīr	bardzo	
شو		šu	co	
-ِك		-ek	twój; twoja; twoje	rodzaj żeński
-ِي		-ī	mój; moja; moje	
منين		mnēn	skąd	
من		mən	z; od	
و		w	i; a	
بس		bass	ale	
صباح الخير		ṣabāḥ əl-ḫēr	dzień dobry	rano
صباح الخيرات		ṣabāḥ əl-ḫērāt	dzień dobry	rano - odpowiedź
إذا بتريدي		iza bətrīdī	proszę	do kobiety
تفضل		tfaḍḍal	proszę	do mężczyzny
شكرا		šukran	dziękuję	
آه		āh	och	
ايه		ē	tak	
طيب		ṭayyeb	dobrze	
هي		hayy	oto jest	
أهلا وسهلا فيكي ب...		ahla wa sahla fīkī b...	witaj w...	
أهلاً فيك		ahlan fīk	witaj	do mężczyzny
أهلاً فيكي		ahlan fīki	witaj	do kobiety
أهلاً فيكن		ahlan fīkon	witajcie	
اسمي		əsmi	moje imię	
اسمك		əsmak	twoje imię	do mężczyzny
اسمك		əsmek	twoje imię	do kobiety
اسمه		əsmo	jego imię	
اسمها		əsma	jej imię	
أنا		ana	ja	
انت		ənte	ty	rodzaj męski
انتي		ənti	ty	rodzaj żeński
هو		huwwe	on	
هي		hiyye	ona	
اميركا		Amērka	Ameryka	
اميركي، اميركية		amērki, amērkiyye	amerykański, amerykańska	
بريطانية		Brīṭānya	Wielka Brytania	
بريطاني، بريطانية		brīṭāni, brīṭāniyye	brytyjski, brytyjska	
كندا		Kanada	Kanada	
كندي، كندية		kanadi, kanadiyye	kanadyjski, kanadyjska	
الاردن		əl-Ərdon	Jordania	
اردني، اردنية		ərdoni, ərdoniyye	jordański, jordańska	
سوريا		Sūriya	Syria	
سوري، سورية		sūri, sūriyye	syryjski, syryjska	
لبنان		Ləbnān	Liban	
لبناني، لبنانية		ləbnāni, ləbnāniyye	libański, libańska	
مصر		Maṣr	Egipt	
مصري، مصرية		maṣri, maṣriyye	egipski, egipska	
نيو زيلاندا		Nyū Zīlanda	Nowa Zelandia	
نيو زيلاندي، نيو زيلاندية		nyū zīlandi, nyū zīlandiyye	nowozelandzki, nowozelandzka	
معلم، معلمة		mʿallem, mʿallme	nauczyciel, nauczycielka	
طالب، طالبة		ṭāleb, ṭālbe	student, studentka	
موظف، موظفة		mwaẓẓaf, mwaẓẓafe	urzędnik, urzędniczka	
مدير، مديرة		mudīr, mudīra	dyrektor, dyrektorka	
سفير، سفيرة		safīr, safīra	ambasador, pani ambasador	
صحفي، صحفية		ṣaḥafi, ṣaḥafiyye	dziennikarz, dziennikarka	
مهندس، مهندسة		mhandes, mhandese	inżynier, pani inżynier	
دكتور، دكتورة		doktūr, doktūra	doktor, pani doktor	
ديبلوماسي، ديبلوماسية		dəblomāsi, dəblomāsiyye	dyplomata, dyplomatka	
شو بيشتغل؟		Šū byəštəġel?	Gdzie on pracuje?	
شو بتشتغل؟		Šū btəštəġel?	Gdzie ona pracuje?	
شو بتشتغل؟		Šū btəštəġel?	Gdzie pracujesz?	do mężczyzny
شو بتشتغلي؟		Šū btəštəġeli?	Gdzie pracujesz?	do kobiety
انت متزوج؟		Ənte mətzawwej?	Jesteś żonaty?	
ايه، أنا متزوج.		Ē, ana mətzawwej.	Tak, jestem żonaty.	
انتي متزوجة؟		Ənti mətzawwje?	Jesteś zamężna?	
ايه، أنا متزوجة.		Ē, ana mətzawwje.	Tak, jestem zamężna.	
لا، أنا مو متزوج.		La, ana mū mətzawwej.	Nie, nie jestem żonaty.	
خاطب، مخطوبة		ḫāṭeb, maḫṭūbe	zaręczony, zaręczona	
اعزب، عزباء		aʿzab, ʿazbaʾ	kawaler, panna	
مطلق، مطلقة		mṭallaq, mṭallaqa	rozwiedziony, rozwiedziona	
ارمل، ارملة		armal, armale	wdowiec, wdowa	
ما بعرف		mā baʿref	nie wiem	
مرة		mara	kobieta	
مدام		madām	żona; pani	
زوج		zawj	mąż	
زوجة		zawje	żona	
خطيب، خطيبة		ḫaṭīb, ḫaṭībe	narzeczony, narzeczona	
رفيق، رفيقة		rfīq, rfīqa	kolega, koleżanka	
كبير، كبيرة		kbīr, kbīre	duży, duża	
صغير، صغيرة		ṣġīr, ṣġīre	mały, mała	
جديد، جديدة		jdīd, jdīde	nowy, nowa	
قديم، قديمة		qadīm, qadīme	stary, stara	
قريب، قريبة		qarīb, qarībe	bliski, bliska	
بعيد، بعيدة		bʿīd, bʿīde	daleki, daleka	
غني، غنية		ġani, ġaniyye	drogi, droga	
فقير، فقيرة		faqīr, faqīra	biedny, biedna	
غالي، غالية		ġāli, ġālye	drogi, droga	
رخيص، رخيصة		rḫīṣ, rḫīṣa	tani, tania	
