Phrase	Transcription	Translation	Notes
وَاحِد	wāḥid	jeden	١
اِثْنَان	iṯnān	dwa	٢
ثَلَاثَة	ṯalāṯa	trzy	٣
أَرْبَعَة	arbaʿa	cztery	٤
خَمْسَة	ḫamsa	pięć	٥
سِتَّة	sitta	sześć	٦
سَبْعَة	sabʿa	siedem	٧
ثَمَانِيَة	ṯamāniya	osiem	٨
تِسْعَة	tisʿa	dziewięć	٩
عَشَرَة	ʿašara	dziesięć	١٠
أَحَدَ عَشَرَ	aḥad ʿašar	jedenaście	١١
اِثْنَا عَشَرَ	iṯnā ʿašar	dwanaście	١٢
ثَلَاثَةَ عَشَرَ	ṯalāṯa ʿašar	trzynaście	١٣
أَرْبَعَةَ عَشَرَ	arbaʿa ʿašar	czternaście	١٤
خَمْسَةَ عَشَرَ	ḫamsa ʿašar	piętnaście	١٥
سِتَّةَ عَشَرَ	sitta ʿašar	szesnaście	١٦
سَبْعَةَ عَشَرَ	sabʿa ʿašar	siedemnaście	١٧
ثَمَانِيَةَ عَشَرَ	ṯamāniya ʿašar	osiemnaście	١٨
تِسْعَةَ عَشَرَ	tisʿa ʿašar	dziewiętnaście	١٩
عِشْرُونَ	ʿišrūn	dwadzieścia	٢٠
وَاحِد و عِشْرُونَ	wāḥid wa ʿišrūn	dwadzieścia jeden	٢١
اِثْنَان و عِشْرُونَ	iṯnān wa ʿišrūn	dwadzieścia dwa	٢٢
ثَلَاثَة و عِشْرُونَ	ṯalāṯa wa ʿišrūn	dwadzieścia trzy	٢٣
أَرْبَعَة و عِشْرُونَ	arbaʿa wa ʿišrūn	dwadzieścia cztery	٢٤
خَمْسَة و عِشْرُونَ	ḫamsa wa ʿišrūn	dwadzieścia pięć	٢٥
سِتَّة و عِشْرُونَ	sitta wa ʿišrūn	dwadzieścia sześć	٢٦
سَبْعَة و عِشْرُونَ	sabʿa wa ʿišrūn	dwadzieścia siedem	٢٧
ثَمَانِيَة و عِشْرُونَ	ṯamāniya wa ʿišrūn	dwadzieścia osiem	٢٨
تِسْعَة و عِشْرُونَ	tisʿa wa ʿišrūn	dwadzieścia dziewięć	٢٩
ثَلَاثُونَ	ṯalāṯūn	trzydzieści	٣٠
وَاحِد و ثَلَاثُونَ	wāḥid wa ṯalāṯūn	trzydzieści jeden	٣١
اِثْنَان و ثَلَاثُونَ	iṯnān wa ṯalāṯūn	trzydzieści dwa	٣٢
ثَلَاثَة و ثَلَاثُونَ	ṯalāṯa wa ṯalāṯūn	trzydzieści trzy	٣٣
أَرْبَعَة و ثَلَاثُونَ	arbaʿa wa ṯalāṯūn	trzydzieści cztery	٣٤
خَمْسَة و ثَلَاثُونَ	ḫamsa wa ṯalāṯūn	trzydzieści pięć	٣٥
سِتَّة و ثَلَاثُونَ	sitta wa ṯalāṯūn	trzydzieści sześć	٣٦
سَبْعَة و ثَلَاثُونَ	sabʿa wa ṯalāṯūn	trzydzieści siedem	٣٧
ثَمَانِيَة و ثَلَاثُونَ	ṯamāniya wa ṯalāṯūn	trzydzieści osiem	٣٨
تِسْعَة و ثَلَاثُونَ	tisʿa wa ṯalāṯūn	trzydzieści dziewięć	٣٩
أَرْبَعُونَ	arbaʿūn	czterdzieści	٤٠
وَاحِد و أَرْبَعُونَ	wāḥid wa arbaʿūn	czterdzieści jeden	٤١
اِثْنَان و أَرْبَعُونَ	iṯnān wa arbaʿūn	czterdzieści dwa	٤٢
ثَلَاثَة و أَرْبَعُونَ	ṯalāṯa wa arbaʿūn	czterdzieści trzy	٤٣
أَرْبَعَة و أَرْبَعُونَ	arbaʿa wa arbaʿūn	czterdzieści cztery	٤٤
خَمْسَة و أَرْبَعُونَ	ḫamsa wa arbaʿūn	czterdzieści pięć	٤٥
سِتَّة و أَرْبَعُونَ	sitta wa arbaʿūn	czterdzieści sześć	٤٦
سَبْعَة و أَرْبَعُونَ	sabʿa wa arbaʿūn	czterdzieści siedem	٤٧
ثَمَانِيَة و أَرْبَعُونَ	ṯamāniya wa arbaʿūn	czterdzieści osiem	٤٨
تِسْعَة و أَرْبَعُونَ	tisʿa wa arbaʿūn	czterdzieści dziewięć	٤٩
خَمْسُونَ	ḫamsūn	pięćdziesiąt	٥٠
وَاحِد و خَمْسُونَ	wāḥid wa ḫamsūn	pięćdziesiąt jeden	٥١
اِثْنَان و خَمْسُونَ	iṯnān wa ḫamsūn	pięćdziesiąt dwa	٥٢
ثَلَاثَة و خَمْسُونَ	ṯalāṯa wa ḫamsūn	pięćdziesiąt trzy	٥٣
أَرْبَعَة و خَمْسُونَ	arbaʿa wa ḫamsūn	pięćdziesiąt cztery	٥٤
خَمْسَة و خَمْسُونَ	ḫamsa wa ḫamsūn	pięćdziesiąt pięć	٥٥
سِتَّة و خَمْسُونَ	sitta wa ḫamsūn	pięćdziesiąt sześć	٥٦
سَبْعَة و خَمْسُونَ	sabʿa wa ḫamsūn	pięćdziesiąt siedem	٥٧
ثَمَانِيَة و خَمْسُونَ	ṯamāniya wa ḫamsūn	pięćdziesiąt osiem	٥٨
تِسْعَة و خَمْسُونَ	tisʿa wa ḫamsūn	pięćdziesiąt dziewięć	٥٩
سِتُّونَ	sittūn	sześćdziesiąt	٦٠
وَاحِد و سِتُّونَ	wāḥid wa sittūn	sześćdziesiąt jeden	٦١
اِثْنَان و سِتُّونَ	iṯnān wa sittūn	sześćdziesiąt dwa	٦٢
ثَلَاثَة و سِتُّونَ	ṯalāṯa wa sittūn	sześćdziesiąt trzy	٦٣
أَرْبَعَة و سِتُّونَ	arbaʿa wa sittūn	sześćdziesiąt cztery	٦٤
خَمْسَة و سِتُّونَ	ḫamsa wa sittūn	sześćdziesiąt pięć	٦٥
سِتَّة و سِتُّونَ	sitta wa sittūn	sześćdziesiąt sześć	٦٦
سَبْعَة و سِتُّونَ	sabʿa wa sittūn	sześćdziesiąt siedem	٦٧
ثَمَانِيَة و سِتُّونَ	ṯamāniya wa sittūn	sześćdziesiąt osiem	٦٨
