Phrase	Transcription	Translation	Notes
مُهَنْدِسٌ	muhandis	inżynier
مُدَرِّسٌ	mudarris	wykładowca
مَاهِرٌ	māhir	fachowy; wykwalifikowany
جَدِيدٌ	jadīd	nowy
دَافِئٌ	dāfiʾ	ciepły
سَيَّارَةٌ	sayyāra	samochód
رَكِبَ السَّيّارَةَ	rakiba as-sayyāra	wsiadł do samochodu
قَادَ السَّيّارَةَ	qāda as-sayyāra	prowadził samochód
عِنْدَ...ِ	ʿinda ...	u
لَسْتَ	lasta	nie jesteś
لَسْتِ	lasti	nie jesteś	r.ż.
لَسْتُ	lastu	nie jestem
رَكِبَ	rakiba	wsiadł
قَادَ	qāda	prowadził; kierował
رَجَعَ	rajaʿa	wrócił
