Phrase	Transcription	Translation	Notes
تَمْرٌ	tamr	daktyle
تِينٌ	tīn	figi
زَيْتُونٌ	zaytūn	oliwki
سَمَاءٌ	samāʾ	niebo
مَطَرٌ	maṭar	deszcz
مَاءُ الْمَطَرِ	māʾu l-maṭar	deszczówka
وَرْدٌ	ward	róże
ثَلْجٌ	ṯalj	śnieg
زَرْعٌ	zarʿ	siew
مُفِيدٌ	mufīd	pożyteczny; przydatny
نَافِعٌ	nāfiʿ	użyteczny; opłacalny
سَأَلَ	saʾala	zapytał
رَسَمَ	rasama	narysował
قَالَ	qāla	powiedział
سَقَى	saqā	podlewał
لِمَاذَا؟	li-māḏā?	dlaczego? po co?
قِيلَ لَهُ	qīla lahu	powiedzieli mu
لا اَدْرِى	lā adrī	nie wiem
نَزَلَ الْمَطَرُ	nazala l-maṭar	spadł deszcz
