Phrase	Transcription	Translation	Notes
يَدٌ	yad	ręka
خِزَانَةٌ	ḫizāna	szafa
خِزَانَةُ كُتُبٍ	ḫizānat kutub	biblioteczka; szafa na książki
خَرِيفٌ	ḫarīf	jesień
مَعْهَدٌ	maʿhad	instytut
اَىٌّ؟	ayy?	jaki?
اَيَّةٌ؟	ayya?	jaka?
اَىٌّ كِتَابٍ	ayy kitāb?	jaka książka?
جَيِّدًا	jayyidan	dobrze; doskonale
عَادَ	ʾāda	powrócił
نَامَ	nāma	spał
اَطَاعَ	aṭāʿa	podporządkował się; posłuchał
تَغَدَّى	taġaddā	jadł obiad
تَعَشَّى	taʿaššā	jadł kolację
لُغَةٌ	luġa	język; mowa
غُرْفَةٌ	ġurfa	pokój
مَخْزَنٌ	maḫzan	sklep
اِنَاءٌ	ināʾ	naczynie
دَرَسَ اللُّغَةٌ الْعَرَبِيَّةَ	darasa l-luġa l-ʿarabiyya	nauczył się języka arabskiego
بِاللُّغَةِ الْعَرَبِيَّةِ	bi-l-luġa l-ʿarabiyya	w języku arabskim
نِمْتُ	nimtu	spałem
نِمْنَا	nimnā	spaliśmy
تَغَدَّيْتُ	taġaddaytu	jadłem obiad
