Phrase	Transcription	Translation	Notes
سَاعَةٌ	sāʿa	zegarek
طَبِيبٌ	ṭabīb	lekarz
مَرِيضٌ	marīḍ	chory
سَطْلٌ	saṭl	wiadro
حِكَايَةٌ	ḥikāya	opowieść; historia
عَمٌّ	ʾamm	wuj ze strony ojca
هَدِيَّةٌ	hadiyya	prezent; podarunek
سَنَةٌ	sana	rok
وَقْتٌ	waqt	czas
ضَعِيفٌ	ḍaʿīf	słaby; bezsilny
صَبَاحِيٌّ	ṣabāḥī	poranny
مَاضٍ	māḍin	przeszły
وَ لِذَلِكَ	wa li-ḏālik	i dlatego
اَلسَّنَةُ الْمَاضِيَةُ	as-sana l-māḍiyya	zeszły rok
نَهَارُكَ سَعِيدٌ!	nahāruk saʿīd!	dzień dobry!
اَهْلاً وَ سَهْلاً	ahlan wa sahlan	witamy
دَخَلَ الْجَامِعَةَ	daḫala l-jāmiʿa	wstąpił na uniwersytet
اِنَّ	inna	zaprawdę
اِنَّهُ	innahu	zaprawdę, on ci
اَمَا قَرَأَ؟	a-mā qaraʾa?	czyż nie czytał?
اَمَا قُلْتُ لَكَ؟	a-mā qultu lak?	a nie mówiłem ci?
زَارَ	zāra	odwiedził
