Phrase	Transcription	Translation	Notes
اَسَدٌ	asad	lew
نَمِرٌ	namir	tygrys
قِرْدٌ	qird	małpa
دُبٌّ	dubb	niedźwiedź
ذِئْبٌ	ḏiʾb	wilk
غَزَالٌ	ġazāl	gazela
ذُبَّابَةٌ	ḏubbāba	mucha
عَنْكَبُوتٌ	ʿankabūt	pająk
نَسِيجُ الْعَنْكَبُوتِ	nasīju l-ʿankabūt	pajęczyna
شَبَكَةٌ	šabaka	sieć
رَوْضَةٌ	rawḍa	przedszkole
خَيْطٌ	ḫayṭ	nić
نَسَّاجٌ	nassāj	tkacz
حَشَرَةٌ	ḥašara	owad
وَحْشِىٌّ	waḥšī	dziki
دَقِيقٌ	daqīq	cienki
لَطِيفٌ	laṭīf	ciekawy; zabawny
حِكَايَةٌ لَطِيفَةٌ	ḥikāya laṭīfa	ciekawe opowiadanie
طِفْلٌ	ṭifl	dziecko
رَوْضَةُ الأَطْفَالِ	rawḍatu l-ʾaṭfāl	przedszkole
حَدِيقَةُ الْحَيْوَانَاتِ	ḥadīqatu l-ḥaywānāt	ogród zoologiczny
بَيْتُ الْعَنْكَبُوتِ	baytu l-ʿankabūt	dom pająka; pajęczyna
نَسَجَ	nasaja	tkał
وَقَعَ	waqaʿa	wpadł
عَيْنٌ	ʿayn	oko
ضَحِكَ	ḍaḥika	śmiał się
وَثَبَ	waṯaba	rzucił się
