Phrase	Transcription	Translation	Notes
رُمَّانٌ		owoce granatu
حَمَامٌ		gołębie
فُولٌ		fasola
أُسْرَةٌ		rodzina
خَالٌ		wujek ze strony matki
مَرْعًى		pastwisko
رِيفٌ		wieś; wioska
وِعَاءٌ		naczynie
زُبْدٌ		olej
شَحْمٌ		sadło; tłuszcz
خُضَرٌ		zielenina
بُرْتُقَالٌ		pomarańcza
مَغْلِىٌّ		gotowany
مَاْكُولاَتٌ		jedzenie; artykuły spożywcze
جَزَّارٌ		rzeźnik
اَخْضَرُ		zielony
يُبَاعُ		jest sprzedawany
حَصَلَ عَلَى...ِ		otrzymał; dostał
حَلَبَ		doił
رَعَى		pasł się
فُولٌ اَخْضَرُ		zielona fasolka
تَفَرَّجَ		patrzył; oglądał
فَرْدٌ		jeden człowiek; członek
اَفْرَادُ اْلأُسْرَةِ		członkowie rodziny
