Phrase	Transcription	Translation	Notes
هُوَ قَرَأَ	huwa qaraʾa	on czytał
هِىَ قَرَأَتْ	hiya qaraʾat	ona czytała
اَنْتَ قَرَأْتَ	anta qaraʾta	ty czytałeś
اَنْتِ قَرَأْتِ	anti qaraʾti	ty czytałaś
اَنَا قَرَأْتُ	anā qaraʾtu	ja czytałem
كَتَبَ	kataba	napisał
اَخَذَ	aḫaḏa	wziął
اَكَلَ	akala	zjadł
شَرِبَ	šariba	wypił
دَخَلَ	daḫala	wszedł
خَرَجَ	ḫaraja	wyszedł
هُوَ مَا قَرَأَ	huwa mā qaraʾa	on nie przeczytał
ثُمَّ	ṯumma	potem; następnie
مَا قَرَأْتُ بَعْدُ	mā qaraʾtu baʿdu	jeszcze nie czytałem
هَلْ قَرَأْتَ؟	hal qaraʾta?	czy czytałeś?
مَاذَا فَعَلْتَ؟	māḏā faʿalta?	co robiłeś?
