Phrase	Transcription	Translation	Notes
بُسْتَانٌ	bustān	sad; ogród
قَرْيَةٌ	qarya	wieś; sioło
شَجَرٌ	šajar	drzewo; drzewa
دِيوَانٌ	dīwān	sofa
نَبَاتٌ	nabāt	roślina
نَافِذَةٌ	nāfiḏa	okno
مَنْزِلٌ	manzil	dom; mieszkanie
نَادِرٌ	nādir	rzadki
مُخْتَلِفٌ	muḫtalif	różny; różnorodny
كَثِيرٌ	kaṯīr	liczny; dużo; wiele
وَثِيرٌ	waṯīr	miękki
قَلِيلاً	qalīlan	trochę; niedużo
جِدًّا	jiddan	bardzo
قُرْبَ...ِ	qurba ...-i	blisko; koło
ذَلِكَ	ḏalika	tamten; tamto
مَاذَا تُرِيدُ؟	māḏā turīdu?	czego chcesz?
اُرِيدُ	urīdu	chcę
اَتُرِيدُ؟	a-turīdu?	czy chcesz?
لا اُرِيدُ	lā urīdu	nie chcę
تَعَالَ هُنَا نَقْرَإِ الدَّرْسَ	taʿāla hunā naqraʾi d-darsa	chodź tu, przeczytamy lekcję
