Phrase	Transcription	Translation	Notes
وَرْدَةٌ	warda	róża
زَوْجٌ	zawj	mąż
زَوْجَةٌ	zawja	żona
مَسْرَحٌ	masraḥ	teatr
مَيْدَانٌ	maydān	plac
حَدِيقَةٌ	ḥadīqa	park
اَجْنَبِىٌّ	ajnabī	cudzoziemski; cudzoziemiec
مَنْ هُوَ هَذَا الرَّجُلُ	man huwa hāḏā r-rajul?	co to za człowiek?
كَثِيرٌ مِنْ...ِ	kaṯīr min ...-i	dużo ...
كَثِيرٌ مِنَ الْكُتُبِ	kaṯīr mina-l-kutub	dużo książek
اَمَامَ...ِ	amāma ...-i	przed
وَرَاءَ...ِ	warāʾa ...-i	za; z tyłu
يَمِينَ...ِ	yamīna ...-i	z prawej; po prawej
يَسَار...ِ	yasār ...-i	z lewej; po lewej
فَوْقَ...ِ	fawqa ...-i	nad
تَحْتَ...ِ	taḥta ...-i	pod
