Phrase	Transcription	Translation	Notes
جَامِعَةٌ	jāmiʿa	uniwersytet
شَارَةٌ	šāra	etykieta; odznaka
بَدْلَةٌ	badla	garnitur
عَامِلٌ	ʿāmil	robotnik
عَامِلاَةٌ	ʿāmilā	robotnica
مَعْمَلٌ	maʿmal	fabryka
حَيَاةٌ	ḥayā	życie
عَمَّاذَا؟	ʿammāḏā?	o czym?
مِمَّنْ؟	mimman?	od kogo?
كَانَ	kāna	był
تَسَلَّمَ	tasallama	otrzymał
عِنْدَ مَا خَرَجَ	ʿinda mā ḫaraja	kiedy wyszedł
عَنْ...	ʿan ...	o
رِسَالَةٌ	risāla	list; wiadomość
عَرَفَ	ʿarafa	wiedział; dowiedział się
دَرَسَ	darasa	uczył się; nauczył się
عَمِلَ	ʿamila	pracował
