Phrase	Transcription	Translation	Notes
عَلَمٌ	ʿalam	sztandar; flaga
عَلَمُ الإِسلاَمِ	ʿalamu-l-Islām	sztandar Islamu
جُبْنٌ	jubn	ser
طَبْلٌ	ṭabl	bęben
زَرَّاعٌ	zarrāʿ	rolnik
بَيَّاعٌ	bayyāʿ	sprzedawca
رَبِيعٌ	rabīʿ	wiosna
مَرْفُوعٌ	marfūʿ	podniesiony
حَسَنًا	ḥasanan	dobrze
اَبَدًا	abadan	nigdy
قَفَزَ	qafaza	skoczył
زَرَعَ	zaraʿa	zasiał
رَفَعَ	rafaʿa	podniósł
كَسَرَ	kasara	zepsuł; połamał
نَقَرَ	naqara	bił; uderzał; łomotał
بَاعَ	bāʿa	sprzedał
رَقَصَ	raqaṣa	tańczył
نَقَرَ عَلَى الطَّبْلِ	naqara ʿalā ṭ-ṭabl	bębnił; bił w bęben
رَفْرَفَ	rafraf	powiewał
