Phrase	Transcription	Translation	Notes
فَرَاشَةٌ	farāša	motyl
عُشٌّ	ʿušš	gniazdo
طَيْرٌ	ṭayr	ptak
رِيشٌ	rīš	pióro; pierze
غُصْنٌ	ġuṣn	gałązka; witka
شُرْطِىُّ الْمُرُورِ	šurṭiyyu-l-murūr	kierujący ruchem
رَادِيُو	rādiyū	radio
مُسْلِمٌ	muslim	muzułmanin
نَشِيطٌ	našīṭ	aktywny; energiczny
اَلْحَمْدُ لِلَّهِ	al-ḥamdu li-l-Lāh	chwała Bogu
شُرْطِىٌّ	šurṭī	policjant
قَشٌّ	qašš	słoma
اِنْسَانٌ	insān	człowiek
شَجَرَةٌ	šajara	drzewo
شَارِعٌ	šāriʿ	ulica
اِذَاعَةٌ	iḏāʿa	transmisja
اِذَاعَةُ رَادِيُو	iḏāʿat rādiyū	transmisja radiowa
عُبُورٌ	ʿubūr	przejście
مُرُورٌ	murūr	ruch
جَمِيعًا	jamīʿan	wszyscy
عَالَمٌ	ʿālam	świat
فِى الْعَالَمِ	fī l-ʿālam	na świecie
سَمِعَ	samiʿa	słyszał
وَقَفَ	waqafa	wstał; stał
صَنَعَ	ṣanaʿa	zrobił; wykonał
جَمَعَ	jamaʿa	zebrał
طَارَ	ṭāra	latał; odleciał
سَاعَدَ	sāʿada	pomógł
