Phrase	Transcription	Translation	Notes
سَمَكٌ	samak	ryba
مِنَشَّةٌ	minašša	packa	na muchy
سَمَّاكٌ	sammāk	rybak
نَهْرٌ	nahr	rzeka
بَحْرٌ	baḥr	morze
بُحَيْرَةٌ	buḥayra	jezioro
سُوقٌ	sūq	rynek; bazar
ذُبَابٌ	ḏubāb	muchy
شُكْرًا لَكَ	šukran laka	dziękuję ci
خَبَرٌ	ḫabar	wiadomość; nowość
بِحَمْدِ اللَّهِ	bi-ḥamdi l-Lāhi	sława Bogu
قِرَاءَةٌ	qirāʾa	czytanie
كِتَابَةٌ	kitāba	pismo
عَلَّمَ	ʿallama	nauczał
كُلٌّ	kull	każdy; wszelki
كُلَّ يَوْمٍ	kull yawm	codziennie
عَادَةً	ʿādatan	zwykle
أَوَّلَ اَمْسِ	awwala ams	przedwczoraj
بَعْدَ غَدٍ	baʿda ġad	pojutrze
عَصًا	ʿaṣan	pałka; kij
عَاشَ	ʿāša	żył
صَادَ	ṣāda	polował; łapał
طَرَدَ	ṭarada	przegnał; wygnał
سَبَحَ	sabaḥa	pływał
