Phrase	Transcription	Translation	Notes
مَلْعَبٌ	malʿab	stadion
كُرَةُ الْقَدَمِ	kuratu l-qadam	piłka nożna
دِينٌ	dīn	religia; wiara
يَوْمٌ	yawm	dzień
يَوْمُ الْعِيدِ	yawmu l-ʿīd	dzień świąteczny
خَشَبِىٌّ	ḫašabī	drewniany
جِعَادٌ	jiʿād	dżihad; walka za wiarę
اَحَبَّ	aḥabba	kochał; lubił; chciał
طَالِبٌ	ṭālib	student
طَالِبَةٌ	ṭāliba	studentka
اِنْتِهَاءٌ	intihāʾ	koniec; zakończenie
اِخْوَانٌ	iḫwān	bracia
صَلاَةٌ	ṣalā	modlitwa
عِيدٌ	ʿīd	święto
عِيدُكَ مُبَارَكٌ!	ʿīduka mubārak	wesołych świąt!
وَ عِيدُكَ اَنْتَ!	wa ʿīduka anta	nawzajem wesołych świąt!
دَارَ	dāra	obszedł wokół
تَهْنِئَةٌ	tahniʾa	życzenia; powinszowania
صَلاَةُ الْعِيدِ	ṣalātu l-ʿīd	modlitwa świąteczna
كَثِيرًا	kaṯīran	dużo
اَللَّهُ يَرْعَاكَ	al-Lāhu yarʿāk	niech Bóg ma cię w opiece
