Phrase	Transcription	Translation	Notes
الْكُرَةُ الطَّائِرَةُ	al-kura ṭ-ṭāʾira	siatkówka
مِقَصٌّ	miqaṣṣ	nożyce
زَهْرِيَّةٌ	zahriyya	wazon
رِيَاضَةٌ	riyāḍa	sport
رِيَاضِىٌّ	riyāḍī	sportowiec
فُرْصَةٌ	furṣa	zmiana
طَيَّارَةٌ	ṭayyāra	samolot
اَرْضِيَّةٌ	arḍiyya	podłoga
حَائِطٌ	ḥāʾiṭ	ściana
صَيَّادُ السَّمَكِ	ṣayyādu s-samak	wędkarz
شِصٌّ	šiṣṣ	wędka
بِسَاطٌ	bisāṭ	dywan
خَرِيطَةٌ	ḫarīṭa	mapa
زَاوِيَةٌ	zāwiya	kąt
جُغْرَافِىٌّ	juġrāfī	geograficzny
خَرِيطَةٌ جُغْرَافِيَّةٌ	ḫarīṭa juġrāfiyya	mapa geograficzna
عَرِيضٌ	ʿarīḍ	szeroki
مُدَوَّرٌ	mudawwar	okrągły
فِى الْغَدِ	fī l-ġad	następnego dnia
قَصَّ	qaṣṣa	ostrzygł; obciął
رَأَى	raʾā	widział
عَمِلَ	ʿamila	robił
