Phrase	Transcription	Translation	Notes
صُنْدُوقٌ	ṣundūq	skrzynka
قُفْلٌ	qufl	zamek
مِفْتَاحٌ	miftāḥ	klucz
حِنْطَةٌ	ḥinṭa	pszenica
طَمَاطِمُ	ṭamāṭim	pomidory
بَطَاطِسُ	baṭāṭis	ziemniaki
رَبٌّ	rabb	pan; gospodarz
اِلَهٌ	Ilāh	Bóg
نَبِىٌّ	nabī	Prorok
مُؤْمِنٌ	muʾmin	wierny; wierzący
لُعْبَةٌ	luʿba	zabawka
نُقُودٌ	nuqūd	pieniądze
خُضْرَوَاتٌ	ḫuḍrawāt	warzywa
وَ غَيْرُ هَا مِنَ الْخُضْرَوَاتِ	wa ġayru hā mina l-ḫuḍrawāt	i inne warzywa
مَكَّةُ	Makka	Mekka
اَلْمَدِينَةٌ	al-Madīna	Medyna
اِسْمٌ	ism	imię; nazwa
مَا اسْمُكَ؟	mā smuk?	jak się nazywasz?
وُلِدَ	wulida	urodził się
دُفِنَ	dufina	pochowano go
فَرِحَ	fariḥa	ucieszył się
مَاتَ	māta	umarł
