Phrase	Transcription	Translation	Notes
أهلاً وسهلاً	ahlan wa sahlan	witajcie
الآن	al-ʾān	teraz
أيضاً	ayḍan	także; też
أين	ayna	gdzie
بارس	Bāris	Paryż
لا بأس	lā baʾs	nieźle
تحت	taḥta	pod
إلى تحت	ilā taḥtu	do dołu; na dół
تمام	tamām	dobrze; w porządku
جلوس	julūs	siedzenie
جهاز تلفزيون	jihāz tilifizyūn	aparat telewizyjny
خذ	ḫuḏ	weź	do mężczyzny
خذي	ḫuḏī	weź	do kobiety
الله	al-Lāh	Bóg
والله	wa-l-Lāhi	na Boga
إلى	ilā	do; ku
أمام	amāma	przed
أنا	anā	ja
أنت	anta	ty	rodz. męski
أنت	anti	ty	rodz. żeński
أنتم	antum	wy	rodz. męski
أنتنّ	antunna	wy	rodz. żeński
أهلاً بك	ahlan bik	cześć	do mężczyzny
أهلاً بك	ahlan biki	cześć	do kobiety
جهاز فيديو	jihāz fīdīyu	aparat wideo
الحمد لله	al-ḥamdu li-l-Lāh	dzięki Bogu
خير	ḫayr	dobro
أنا بخير	anā bi-ḫayr	mam się dobrze
لا أدري	lā adrī	nie wiem
مرحباً	marḥaban	cześć
سلام	salām	pokój
السّلام عليكم	as-salāmu ʿalaykum	pokój z wami
مع السلامة	maʿa s-salāma	do widzenia
شكراً	šukran	dziękuję
الشمس	aš-šams	słońce
صحّة	ṣiḥḥa	zdrowie
صباح	ṣabāḥ	poranek
صباح الخير	ṣabāḥ al-ḫayr	dzień dobry	rano
صباح النور	ṣabāḥ an-nūr	dzień dobry	odpowiedź
عفواً	ʿafwan	przepraszam; nie ma za co dziękować
على	ʿalā	na; nad
عند	ʿinda	u
عندي	ʿindī	mam
عندكَ	ʿindak	masz	do mężczyzny
عندكِ	ʿindaki	masz	do kobiety
فوقَ	fawqa	nad	przysłówkowo
فوقُ	fawqu	ponad	przymiotnikowo
إلى فوقُ	ilā fawqu	ku górze
في	fī	w
تقدّم	taqaddum	postęp
قمر	qamar	księżyc
القاهرة	al-Qāhira	Kair
مكالمة تلفونيّة	mukālima tilifūniyya	rozmowa telefoniczna
كيف	kayfa	jak
كيف حالكَ	kayfa ḥāluk	jak się masz	do mężczyzny
كيف حالكِ	kayfa ḥāluki	jak się masz	do kobiety
ل	li	dla
لي	liyya	dla mnie
لا	lā	nie
إلى اللقاء	ilā l-liqāʾ	do zobaczenia
ما	mā	co
ماذا	māḏā	co	przed czasownikiem
متى	matā	kiedy
مساء	masāʾ	wieczór
مساء الخير	masāʾ ul-ḫayr	dobry wieczór
مساء النور	masāʾ un-nūr	dobry wieczór	odpowiedź
مع	maʿa	u; z
مَن	man	kto
مِن	min	z
نحن	naḥnu	my
نعم	naʿam	tak
نوم	nawm	sen
هالو	hālū	halo
هذا	hāḏā	ten
هذه	hāḏihi	ta
هات	hāt	daj
هل	hal	czy
هم	hum	oni
هنّ	hunna	one
هنا	hunā	tutaj
هناك	hunāka	tam
هو	huwa	on
هي	hiya	ona
و	wa	i; a
يوجد	yūjad	jest; znajduje się	rodz. męski
توجد	tūjad	jest; znajduje się	rodz. żeński
وسخ	wasiḫ	brudny
يابانيّ	yābānī	japoński
