Phrase	Grammar	Transcription	Translation	Notes
هَذَا		hāḏā	ten; to	
هَذِهِ		haḏihi	ta; to	
بَيْتٌ، بُيُوتٌ		bayt, buyūt	dom, domy	
كَبِيرٌ، كِبَارٌ		kabīr, kibār	duży, duzi	
بِنْتٌ، بَنَاتٌ		bint, banāt	dziewczynka, dziewczynki; córka, córki	
جَمِيلٌ		ǧamīl	ładny; piękny	
تِلْمِيذٌ، تَلَامِيذُ		tilmīḏ, talāmīḏ	uczeń, uczniowie	
ذَكِيٌّ، أَذْكِيَاءُ		ḏakī, aḏkiyāʾ	zdolny, zdolni	
هِيَ		hiya	ona	
هُوَ		huwa	on	
شَاطِرٌ، شُطَّارٌ		šāṭir, šuṭṭār	sprytny, sprytni; zręczny, zręczni	
مَدِينَةٌ، مُدُنٌ		madīna, mudun	miasto, miasta	
مُهَنْدِسٌ		muhandis	inżynier	
مُمَرِّضَةٌ		mumarriḍa	pielęgniarka	
وَ		wa	i	spójnik
