Phrase	Transcription	Translation	Notes
تَدْرِيسٌ	tadrīs	nauka
غُرْفَةُ ٱلتَّدْرِيسِ	ġurfatu-t-tadrīs	audytorium
سُوفْيَاتِيٌّ	sūfyātī	radziecki
أَلآنَ	al-ʾāna	teraz
طَاوِلَةٌ	ṭāwila	stół
بَابٌ	bāb	drzwi
شَابٌّ	šābb	młodzieniec
أَنَا	anā	ja
أَنْتَ	anta	ty
أَنْتِ	anti	ty
نَحْنُ	naḥnu	my
هُمْ	hum	oni
سَيِّدٌ	sayyid	pan
حِوَارٌ	ḥiwār	dialog
قِسْمٌ	qism	część; sektor
صَفٌّ	ṣaff	rok nauki; rząd
أَلصَّفُّ ٱلأَوَّلُ	aṣ-ṣaffu-l-ʾawwal	pierwszy rok
هُنَا	hunā	tutaj
هُنَاكَ	hunāka	tam
مِمْسَحَةٌ	mimsaḥa	gąbka; ścierka
مِسْطَرَةٌ	misṭara	linijka
مَسَّاحَةٌ	massāḥa	gumka do ścierania
خِزَانَةٌ	ḫizāna	szafa
نَظِيفٌ	naẓīf	czysty
كَبِيرٌ	kabīr	duży
صَغِيرٌ	ṣaġīr	mały
جَمِيلٌ	jamīl	piękny
مَفْتُوحٌ	maftūḥ	otwarty
مَقْفُولٌ	maqfūl	zamknięty
أَيْضاً	ayḍan	także; też
كَذَلِكَ	kaḏālika	także; też
مَاذَا	māḏā	co
مَا	mā	co
أَمَّا ... فَ ...	ammā ... fa ...	co dotyczy ..., to ...
أَيْنَ	ayna	gdzie
قَرْيَةٌ	qarya	wieś
