PhraseSg	PhrasePl	TranscriptionSg	TranscriptionPl	Translation	Notes
غُرْفَةٌ	غُرَفٌ	ġurfa	ġuraf	pokój; izba
طَالِبٌ	طَلَبَةٌ، طُلَّابٌ	ṭālib	ṭalaba, ṭullāb	student
طَالِبَةٌ	طَالِبَاتٌ	ṭāliba	ṭālibāt	studentka
رُوسِيٌّ	رُوسٌ	rūsī	rūs	rosyjski; Rosjanin
كُرْسِيٌّ	كَرَاسِيُّ	kursī	karāsī	krzesło
لُغَةٌ	لُغَاتٌ	luġa	luġāt	język
بَلَدٌ	بُلْدَانٌ، بِلَادٌ	balad	buldān, bilād	kraj
مَعْهَدٌ	مَعَاهِدُ	maʿhad	maʿāhid	instytut
نَافِذَةٌ	نَوَافِذُ	nāfiḏa	nawāfiḏ	okno
طَبْشُورَةٌ	طَبَاشِيرُ	ṭabšūra	ṭabāšīr	kreda
كِتَابٌ	كُتُبٌ	kitāb	kutub	książka
مَجَلَّةٌ	مَجَلَّاتٌ	majalla	majallāt	czasopismo
جَرِيدَةٌ	جَرَائِدُ	jarīda	jarāʾid	gazeta
صُورَةٌ	صُوَرٌ	ṣūra	ṣuwar	obraz; portret; kopia
خَرِيطَةٌ	خَرَائِطُ	ḫarīṭa	ḫarāʾiṭ	mapa
حَائِطٌ	حِيطَانٌ	ḥāʾiṭ	ḥīṭān	ściana
