Phrase	Transcription	Notes
أنَا {{c1::رُوسِي::jestem Rosjaninem}}.	Anā {{c1::rūsī}}.
أنَا {{c1::رُوسِيةْ::jestem Rosjanką}}.	Anā {{c1::rūsiyya}}.
أنَا {{c1::إِيرَانِي::jestem Irańczykiem}}.	Anā {{c1::īrānī}}.
أنَا {{c1::إِيرَانِية::jestem Iranką}}.	Anā {{c1::īrāniyya}}.
أنَا {{c1::سُورِي::jestem Syryjczykiem}}.	Anā {{c1::sūrī}}.
أنَا {{c1::سُورِية::jestem Syryjką}}.	Anā {{c1::sūriyya}}.
أنَا {{c1::إِيطَالِي::jestem Włochem}}.	Anā {{c1::īṭālī}}.
أنَا {{c1::إِيطَالِية::jestem Włoszką}}.	Anā {{c1::īṭāliyya}}.
أنَا {{c1::بَلْجِيكِي::jestem Belgiem}}.	Anā {{c1::baljīkī}}.
أنَا {{c1::بَلْجِيكِية::jestem Belgijką}}.	Anā {{c1::baljīkiyya}}.
أنَا {{c1::إِسْبَانِي::jestem Hiszpanem}}.	Anā {{c1::esbānī}}.
أنَا {{c1::إِسْبَانِية::jestem Hiszpanką}}.	Anā {{c1::esbāniyya}}.
أنَا {{c1::كُورِي::jestem Koreańczykiem}}.	Anā {{c1::kūrī}}.
أنَا {{c1::كُورِية::jestem Koreanką}}.	Anā {{c1::kūriyya}}.
أنَا {{c1::صِينِي::jestem Chińczykiem}}.	Anā {{c1::ṣīnī}}.
أنَا {{c1::صِينِية::jestem Chinką}}.	Anā {{c1::ṣīniyya}}.
أنَا {{c1::يَابَانِي::jestem Japończykiem}}.	Anā {{c1::yābānī}}.
أنَا {{c1::يَابَانِية::jestem Japonką}}.	Anā {{c1::yābāniyya}}.
أنَا {{c1::إِنْجِلِيزِي::jestem Anglikiem}}.	Anā {{c1::injilīzī}}.
أنَا {{c1::إِنْجِلِيزِية::jestem Angielką}}.	Anā {{c1::injilīziyya}}.
أنَا {{c1::بِرِيطَانِي::jestem Brytyjczykiem}}.	Anā {{c1::brīṭānī}}.
أنَا {{c1::بِرِيطَانِية::jestem Brytyjką}}.	Anā {{c1::brīṭāniyya}}.
أنَا {{c1::أَلْمَانِي::jestem Niemcem}}.	Anā {{c1::almānī}}.
أنَا {{c1::أَلْمَانِية::jestem Niemką}}.	Anā {{c1::almāniyya}}.
أنَا {{c1::رُومَانِي::jestem Rumunem}}.	Anā {{c1::rūmānī}}.
أنَا {{c1::رُومَانِية::jestem Rumunką}}.	Anā {{c1::rūmāniyya}}.
أنَا {{c1::يَمَنِي::jestem Jemeńczykiem}}.	Anā {{c1::yamanī}}.
أنَا {{c1::يَمَنِية::jestem Jemenką}}.	Anā {{c1::yamaniyya}}.
أنَا {{c1::عُمَانِي::jestem Omańczykiem}}.	Anā {{c1::ʿumānī}}.
أنَا {{c1::عُمَانِية::jestem Omanką}}.	Anā {{c1::ʿumāniyya}}.
أنَا {{c1::بَرَازِيلِي::jestem Brazylijczykiem}}.	Anā {{c1::brāzīlī}}.
أنَا {{c1::بَرَازِيلِية::jestem Brazylijką}}.	Anā {{c1::brāzīliyya}}.
أنَا {{c1::بُرْتُغَالِي::jestem Portugalczykiem}}.	Anā {{c1::burtuġālī}}.
أنَا {{c1::بُرْتُغَالِية::jestem Portugalką}}.	Anā {{c1::burtuġāliyya}}.
أنَا {{c1::تِشِيلِي::jestem Czechem}}.	Anā {{c1::tšīkī}}.
أنَا {{c1::تِشِيلِية::jestem Czeszką}}.	Anā {{c1::tšīkiyya}}.
مَا {{c1::جِنْسِيَّتُكُم::wasza narodowość}}؟	Mā {{c1::jinsiyyatukum}}?	r.m.
نَحْنُ {{c1::بُولَنْدِيون::jesteśmy Polakami}}.	Naḥnu {{c1::būlandiyyūn}}.
نَحْنُ {{c1::مِصْرِيون::jesteśmy Egipcjanami}}.	Naḥnu {{c1::miṣriyyūn}}.
نَحْنُ {{c1::مَغْرِبِيون::jesteśmy Marokańczykami}}.	Naḥnu {{c1::maġribiyyūn}}.
نَحْنُ {{c1::مَغَارِبَة::jesteśmy Marokańczykami}}.	Naḥnu {{c1::maġāriba}}.
نَحْنُ {{c1::جَزَائِرِيُون::jesteśmy Algierczykami}}.	Naḥnu {{c1::jazāʾiriyyūn}}.
نَحْنُ {{c1::تُونِسِيون::jesteśmy Tunezyjczykami}}.	Naḥnu {{c1::tūnisiyyūn}}.
نَحْنُ {{c1::لِيبِيون::jesteśmy Libijczykami}}.	Naḥnu {{c1::lībiyyūn}}.
