Phrase	Grammar	Transcription	Translation	Notes
勺		sháo	czerpak	hanzi-1
日		rì	słońce; dzień	hanzi-1
白		bái	biały; przejrzysty	hanzi-1
的		de	należący do	hsk-1
戈		gē	rodzaj halabardy	hanzi-1
禾		hé	kłos	hanzi-1
我		wǒ	ja	hsk-1
小		xiǎo	mały	hanzi-1
尔		ěr	ty	hanzi-1
人		rén	człowiek	hanzi-1
你		nǐ	ty	hsk-1
止		zhǐ	zatrzymać; zabronić	hanzi-1
口		kǒu	usta; otwór	hanzi-1
足		zú	stopa; wystarczać	hanzi-1
是		shì	być	hsk-1
了		le	(partykuła czynności zakończonej)	hsk-1
不		bù	nie	hsk-1
土		tǔ	ziemia; gleba	hanzi-1
才		cái	zdolność; talent; dopiero	hanzi-1
在		zài	w; być w; w trakcie	hsk-1
也		yě	także; też	hanzi-1
他		tā	on	hsk-1
门		mén	brama; drzwi	hanzi-1
们		men	(sufiks liczby mnogiej)	hanzi-1
我们		wǒmen	my	hsk-1
子		zǐ	syn; dziecko; nasienei; jajko	hanzi-1
女		nǚ	kobieta; córka; rodzaju żeńskiego	hanzi-1
好		hǎo	dobry	hsk-1
月		yuè	miesiąc; księżyc	hanzi-1
又		yòu	znowu	hanzi-1
有		yǒu	mieć	hsk-1
文		wén	literatura; pismo	hanzi-1
彳		chì	krok lewą nogą	hanzi-1
辶		chuò	iść	hanzi-1
这		zhè	ten	hsk-1
云		yún	chmura	hanzi-1
会		huì	umieć	hsk-1
马		mǎ	koń	hanzi-1
吗		ma	czy?	hsk-1
十		shí	dziesięć	hanzi-1
什		shén	co?	hanzi-1
厶		[mǒu]	jakiś; pewien	hanzi-1
么		má	(sufiks pytajny)	hanzi-1
什么		shénme	co?	hsk-1
儿		ér	dziecko; syn	hanzi-1
兄		xiōng	starszy brat	hanzi-1
八		bā	osiem	hanzi-1
兑		duì	dodawać; mieszać	hanzi-1
一		yī	jeden	hanzi-1
三		sān	trzy	hanzi-1
言		yán	mowa	hanzi-1
说		shuō	mówić	hsk-1
她		tā	ona	hsk-1
心		xīn	serce; umysł	hanzi-1
目		mù	oko; spis	hanzi-1
木		mù	drzewo; drewno	hanzi-1
相		xiāng	nawzajem	hanzi-1
想		xiǎng	myśleć; tęsknić; chcieć	hsk-1
一		yī	jeden	hsk-1
匕		bǐ	sztylet; chochla	hanzi-1
艮		gěn	tępy; twardy; ciężki	hanzi-1
很		hěn	bardzo	hsk-1
人		rén	osoba; człowiek	hsk-1
巴		bā	(sufiks rzeczowników)	hanzi-1
邑		yì	miasto; wieś	hanzi-1
冄		[rǎn]	???	hanzi-1
那		nà	tamten	hsk-1
来		lái	przychodzić	hsk-1
耂		[lǎo]	stary	hanzi-1
者		zhě	ten, który	hanzi-1
都		dōu	wszyscy; obaj	hsk-1
竹		zhú	bambus	hanzi-1
个		ge	(klasyfikator ogólny)	hsk-1
能		néng	móc	hsk-1
去		qù	iść; jechać	hsk-1
和		hé	i; z	hsk-1
卜		bǔ	wróżyć	hanzi-1
攵		pū	pukać	hanzi-1
古		gǔ	starożytny	hanzi-1
故		gù	zdarzenie; przyczyna	hanzi-1
做		zuò	robić	hsk-1
上		shàng	nad; do góry	hsk-1
几		jǐ	ile?	hanzi-1
殳		shū	dzida	hanzi-1
水		shuǐ	woda	hanzi-1
没		méi	nie	hanzi-1
没有		méiyǒu	nie mieć; nie być	hsk-1
手		shǒu	ręka	hanzi-1
看		kàn	widzieć; patrzeć; oglądać	hsk-1
乍		zhà	nagle	hanzi-1
怎		zěn	jak?	hanzi-1
怎么		zěnme	jak?	hsk-1
冂		[jiōng]	klucz Kangxi 同字框	hanzi-1
见		jiàn	zobaczyć	hanzi-1
王		wáng	król; książe	hanzi-1
现		xiàn	pojawić się; teraz; obecnie	hanzi-1
现在		xiànzài	teraz	hsk-1
火		huǒ	ogień	hanzi-1
占		zhàn	zdobyć; okupować	hanzi-1
点		diǎn	kropka; trochę; godzina	hsk-1
