Phrase	Grammar	Transcription	Translation	Notes
比较	adv, v	bǐjiào		
别	Adv	bié		
不	Adv	bù		
不要	Adv	bùyào		
不用	Adv	bùyòng		
才	Adv	cái		
常	Adv	cháng		
常常	Adv	chángcháng		
都	Adv	dōu		
多	Adv	duō		
多么	Adv	duōme		
非常	Adv	fēicháng		
刚	Adv	gāng		
更	Adv	gèng		
还	Adv	hái		
还是	adv, conj	háishì		
好	Adv	hǎo		
很	Adv	hěn		
忽然	Adv	hūrán		
互相	Adv	hùxiāng		
接着	adv, conj	jiēzhe		
经常	Adv	jīngcháng		
就	adv, conj	jiù		
立刻	Adv	lìkè		
马上	Adv	mǎshàng		
没	adv, v	méi		
没有	Adv	méiyǒu		
然后	Adv	ránhòu		
十分	Adv	shífēn		
太	Adv	tài		
挺	Adv	tǐng		
先	adv, n	xiān		
也	Adv	yě		
也许	Adv	yěxǔ		
一共	Adv	yīgòng		
一会儿	adv, n	yīhuìr		
一块儿	Adv	yīkuàir		
一起	Adv	yīqǐ		
一样	Adv	yīyàng		
一直	Adv	yīzhí		
已经	Adv	yǐjing		
永远	Adv	yǒngyuǎn		
尤其	Adv	yóuqí		
又	Adv	yòu		
再	Adv	zài		
在	Adv	zài		
真	Adv	zhēn		
正	Adv	zhèng		
正在	Adv	zhèngzài		
只	Adv	zhǐ		
只好	Adv	zhǐhǎo		
总(是)	Adv	zǒng(shì)		
最	Adv	zuì		
