Phrase	Grammar	Transcription	Translation	Notes
爱人	N	àirén		
安排	v, n	ānpái		
爸爸	N	bàba		
班	n, m	bān		
半天	N	bàntiān		
办法	N	bànfǎ		
办公室	N	bàngōngshì		
报	N	bào		
杯	n, m	bēi		
杯子	N	bēizi		
北	N	běi		
北边	N	běibiān		
本	n, m	běn		
本子	N	běnzi		
比赛	v, n	bǐsài		
笔	n, m	bǐ		
边	N	biān		
表	N	biǎo		
表示	v, n	biǎoshì		
表现	v, n	biǎoxiàn		
表演	v, n	biǎoyǎn		
病	n, v	bìng		
不久	N	bùjiǔ		
布	N	bù		
部分	N	bùfen		
菜	N	cài		
操场	N	cāochǎng		
草	N	cǎo		
茶	N	chá		
场	m, n	chǎng		
车	N	chē		
车站	N	chēzhàn		
城	N	chéng		
城市	N	chéngshì		
成绩	N	chéngjì		
船	N	chuán		
窗	N	chuāng		
窗户	N	chuānghu		
床	N	chuáng		
春	N	chūn		
春天	N	chūntiān		
磁带	N	cídài		
词	N	cí		
词典	N	cídiǎn		
从前	N	cóngqián		
错	adj, n	cuò		
错误	N	cuòwù		
打算	v, n	dǎsuàn		
大学	N	dàxué		
大夫	N	dàifu		
代表	n, v	dàibiǎo		
刀	N	dāo		
道理	N	dàolǐ		
灯	N	dēng		
地	N	dì		
地方	N	dìfang		
弟弟	N	dìdi		
点	N	diǎn		
点心	N	diǎnxin		
点钟	N	diǎnzhōng		
电	N	diàn		
电车	N	diànchē		
电灯	N	diàndēng		
电话	N	diànhuà		
电视	N	diànshì		
电影	N	diànyǐng		
东	N	dōng		
东边	N	dōngbiān		
东西	N	dōngxi		
冬	N	dōng		
冬天	N	dōngtiān		
动物	N	dòngwù		
儿子	N	érzi		
发现	v, n	fāxiàn		
发展	v, n	fāzhǎn		
法语(法文)	N	fǎyǔ(fǎwén)		
翻译	v, n	fānyì		
饭	N	fàn		
饭店	N	fàndiàn		
方法	N	fāngfǎ		
方面	N	fāngmiàn		
方向	N	fāngxiàng		
房间	N	fángjiān		
飞机	N	fēijī		
分	n, m	fēn		
分钟	N	fēnzhōng		
风	N	fēng		
夫人	N	fūrén		
