Phrase	Grammar	Transcription	Translation	Notes
别的	Pron	biéde		
别人	Pron	biéren		
大家	Pron	dàjiā		
多少	Pron	duōshao		
各	Pron	gè		
各种	Pron	gèzhǒng		
几	Pron	jǐ		
每	Pron	měi		
哪	Pron	nǎ/něi		
哪里(哪儿)	Pron	nǎli(nǎr)		
那	Pron	nà		
那个	Pron	nàge		
那里(那儿)	Pron	nàli(nàr)		
那么	Pron	nàme		
那些	Pron	nàxiē		
那样	Pron	nàyàng		
你	Pron	nǐ		
你们	Pron	nǐmen		
您	Pron	nín		
任何	Pron	rènhé		
什么	Pron	shénme		
谁	Pron	sheí/shuí		
他	Pron	tā		
他们	Pron	tāmen		
它	Pron	tā		
它们	Pron	tāmen		
她	Pron	tā		
她们	Pron	tāmen		
我	Pron	wǒ		
我们	Pron	wǒmen		
一切	adj, pron	yīqiè		
有的	Pron	yǒude		
有些	Pron	yǒuxiē		
咱	Pron	zán		
咱们	Pron	zánmen		
怎么	Pron	zěnme		
怎么样	Pron	zěnmeyàng		
怎样	Pron	zěnyàng		
这	Pron	zhè		
这个	Pron	zhège		
这里(这儿)	Pron	zhèlǐ(zhèr)		
这么	Pron	zhème		
这些	Pron	zhèxiē		
这样	Pron	zhèyàng		
自己	Pron	zìjǐ		
