Phrase	Grammar	Transcription	Translation	Notes
爱	V	ài		
安排	v, n	ānpái		
摆	V	bǎi		
搬	V	bān		
办	V	bàn		
帮助	V	bāngzhù		
抱	V	bào		
比	prep, v	bǐ		
比较	adv, v	bǐjiào		
比赛	v, n	bǐsài		
变	V	biàn		
变化	V	biànhuà		
表示	v, n	biǎoshì		
表现	v, n	biǎoxiàn		
表演	v, n	biǎoyǎn		
表扬	V	biǎoyáng		
病	n, v	bìng		
不如	v, conj	bùrú		
擦	V	cā		
参观	V	cānguān		
参加	V	cānjiā		
查	V	chá		
差	V	chà		
唱	V	chàng		
朝	prep, v	cháo		
成	V	chéng		
吃	V	chī		
迟到	V	chídào		
抽	V	chōu		
出	V	chū		
出发	V	chūfā		
出现	V	chūxiàn		
穿	V	chuān		
吹	V	chuī		
打	V	dǎ		
打算	v, n	dǎsuàn		
戴	V	dài		
带	V	dài		
代表	n, v	dàibiǎo		
当	V	dāng		
倒	V	dǎo		
到	V	dào		
得	V	dé		
等	V	děng		
低	adj, v	dī		
点	V	diǎn		
掉	V	diào		
丢	V	diū		
懂	V	dǒng		
动	V	dòng		
读	V	dú		
锻炼	V	duànliàn		
对	prep, v	duì		
饿	adj, v	è		
发	V	fā		
发生	V	fāshēng		
发现	v, n	fāxiàn		
发展	v, n	fāzhǎn		
翻	V	fān		
翻译	v, n	fānyì		
反对	V	fǎnduì		
方便	adj, v	fāngbiàn		
访问	V	fǎngwèn		
放	V	fàng		
飞	V	fēi		
分	V	fēn		
丰富	adj, v	fēngfù		
服务	V	fúwù		
辅导	v, n	fǔdǎo		
复习	V	fùxí		
负责	v, adj	fùzé		
该	aux, v	gāi		
改	V	gǎi		
改变	v, n	gǎibiàn		
感到	V	gǎndào		
感冒	n, v	gǎnmào		
感谢	V	gǎnxiè		
干	V	gàn		
高兴	adj, v	gāoxìng		
搞	V	gǎo		
告诉	V	gàosù		
给	v, prep	gěi		
跟	prep, conj, v	gēn		
工作	v, n	gōngzuò		
够	adj, v	gòu		
刮	V	guā		
挂	V	guà		
关	V	guān		
关系	n, v	guānxì		
关心	V	guānxīn		
广播	v, n	guǎngbō		
过	V	guò		
喊	V	hǎn		
好像	V	hǎoxiàng		
喝	V	hē		
花	V	huā		
画	V	huà		
欢迎	V	huānyíng		
还	V	huán		
换	V	huàn		
回	V	huí		
回答	v, n	huídá		
会	aux, v	huì		
会话	v, n	huìhuà		
活	V	huó		
活动	v, n	huódòng		
集合	V	jíhé		
挤	v, adj	jǐ		
寄	V	jì		
计划	n, v	jìhuà		
记	V	jì		
继续	V	jìxù		
加	V	jiā		
坚持	V	jiānchí		
检查	v, n	jiǎnchá		
见	V	jiàn		
建设	v, n	jiànshè		
讲	V	jiǎng		
交	V	jiāo		
教	V	jiāo		
教育	v, n	jiàoyù		
叫	V	jiào		
叫	v, prep	jiào		
接	V	jiē		
结束	V	jiéshù		
解决	V	jiějué		
借	V	jiè		
介绍	V	jièshào		
进	V	jìn		
进来	V	jìnlái		
进去	V	jìnqu		
进行	V	jìnxíng		
经过	v, n	jīngguò		
举	V	jǔ		
觉得	V	juéde		
决定	v, n	juédìng		
开	V	kāi		
开始	v, n	kāishǐ		
看	V	kàn		
看见	V	kànjiàn		
考试	v, n	kǎoshì		
咳嗽	V	késou		
客气	adj, v	kèqi		
哭	V	kū		
拉	V	lā		
来	V	lái		
劳动	V	láodòng		
离	v, prep	lí		
离开	V	líkāi		
利用	V	lìyòng		
例如	V	lìrú		
联系	v, n	liánxì		
练习	v, n	liànxí		
亮	adj, v	liàng		
了	V	liǎo		
了解	V	liǎojiě		
领导	v, n	lǐngdǎo		
留	V	liú		
留念	V	liúniàn		
流	v, n	liú		
录音	v, n	lùyīn		
旅行	V	lǚxíng		
麻烦	v, adj	máfan		
买	V	mǎi		
卖	V	mài		
没	adv, v	méi		
拿	V	ná		
念	V	niàn		
爬	V	pá		
怕	V	pà		
拍	V	pāi		
派	v, n	pài		
跑	V	pǎo		
碰	V	pèng		
批评	v, n	pīpíng		
破	v, adj	pò		
骑	V	qí		
起	V	qǐ		
请	V	qǐng		
取得	V	qǔdé		
去	V	qù		
让	V	ràng		
热	adj, v	rè		
认识	v, n	rènshi		
认为	V	rènwéi		
上	V	shàng		
少	adj, v	shǎo		
生产	V	shēngchǎn		
生活	n, v	shēnghuó		
剩	V	shèng		
胜利	v, n	shènglì		
实践	v, n	shíjiàn		
实现	V	shíxiàn		
使用	V	shǐyòng		
是	V	shì		
试	V	shì		
收	V	shōu		
收拾	V	shōushi		
输	V	shū		
数	V	shǔ		
睡	V	shuì		
说	V	shuō		
说明	v, n	shuōmíng		
死	V	sǐ		
送	V	sòng		
算	V	suàn		
抬	V	tái		
谈	V	tán		
躺	V	tǎng		
讨论	V	tǎolùn		
疼	V	téng		
踢	V	tī		
提	V	tí		
提高	V	tígāo		
跳	V	tiào		
听	V	tīng		
听见	V	tīngjiàn		
听写	v, n	tīngxiě		
停	V	tíng		
通	v, adj	tōng		
通过	v, prep	tōngguò		
通知	v, n	tōngzhī		
同意	V	tóngyì		
团结	V	tuánjié		
推	V	tuī		
退	V	tuì		
