Phrase	Grammar	Transcription	Translation	Notes
变成		biànchéng		
出来		chū lái		
出去		chū qù		
出租汽车		chūzū qìchē		
除了…以外		chúle … yǐwài		
从…到…		cóng … dào …		
从…起		cóng … qǐ …		
大声		dà shēng		
得到		dé dào		
…得很		… dehěn		
对不起		duìbuqǐ		
发烧		fā shāo		
放假		fàng jià		
…分之…		… fēnzhī …		
贵姓		guì xìng		
过来		guò lai		
过去		guò qu		
回来		huí lái		
回去		huí qù		
…极了		… jí le		
见面		jiàn miàn		
开玩笑		kāi wánxiào		
开学		kāi xué		
看病		kàn bìng		
劳驾		láo jià		
连…都(也)…		lián … dōu (yě) …		
没关系		méi guānxi		
没意思		méi yìsi		
跑步		pǎo bù		
起床		qǐ chuáng		
起来		qǐ lái		
请假		qǐng jià		
请问		qǐng wèn		
散步		sàn bù		
上课		shàng kè		
上来		shàng lái		
上去		shàng qu		
上学		shàng xué		
睡觉		shuì jiào		
跳舞		tiào wǔ		
听说		tīng shuō		
为什么		wèi shénme		
问好		wèn hǎo		
握手		wò shǒu		
洗澡		xǐ zǎo		
下课		xià kè		
下来		xià lái		
下去		xià qu		
一边…一边…		yībiān … yībiān		
一…就…		yī … jiù …		
一…也…		yī…yě…		
游泳		yóu yǒng		
有时候		yǒu shíhou		
有意思		yǒu yìsi		
照相		zhào xiàng		
…之间		… zhījiān		
