Phrase	Grammar	Transcription	Translation	Notes
包	n, m	bāo		
部	n, m	bù		
册	m	cè		
尺	n, m	chǐ		
寸	m	cùn		
袋	n, m	dài		
滴	m	dī		
度	n, m	dù		
对	m	duì		
吨	m	dūn		
朵	m	duǒ		
份	m	fèn		
幅	m	fú		
副	m	fù		
行	m	háng		
盒	n, m	hé		
架	m	jià		
届	m	jiè		
颗	m	kē		
类	n, m	lèi		
厘米	m	límǐ		
粒	m	lì		
两	m	liǎng		
列	v, m	liè		
面	m	miàn		
秒	m	miǎo		
名	n, m	míng		
亩	m	mǔ		
排	n, m	pái		
盘	n, m	pán		
批	m	pī		
匹	m	pǐ		
期	n, m	qī		
群	m	qún		
身	n, m	shēn		
首	n, m	shǒu		
所	n, m	suǒ		
台	n, m	tái		
趟	m	tàng		
套	v, m	tào		
团	n, m	tuán		
项	m	xiàng		
样	m	yàng		
章	m	zhāng		
丈	m	zhàng		
阵	n, m	zhèn		
株	m	zhū		
