Phrase	Grammar	Transcription	Translation	Notes
安心		ān xīn		
半拉		bàn lā		
办公		bàn gōng		
办事		bàn shì		
帮忙		bāng máng		
报到		bào dào		
报名		bào míng		
毕业		bì yè		
边…边…		biān … biān …		
补课		bǔ kè		
不得不		bù dé bù		
不敢当		bù gǎndāng		
不好意思		bù hǎoyìsi		
不是吗		bù shì ma		
不要紧		bù yàojǐn		
不一定		bù yídìng		
吃惊		chī jīng		
出口		chū kǒu		
出席		chū xí		
出院		chū yuàn		
从不(没)		cóng bù (cóng méi)		
从…出发		cóng … chūfā		
达到		dá dào		
打倒		dǎ dǎo		
打针		dǎ zhēn		
担心		dān xīn		
当…的时候		dāng … deshíhòu		
到底		dào dǐ		
道歉		dào qiàn		
…的话		… dehuà		
动身		dòng shēn		
动手		dòng shǒu		
读书		dú shū		
发言		fā yán		
放心		fàng xīn		
非…不可		fēi … bùkě		
干杯		gān bēi		
感兴趣		gǎn xìngqù		
干活儿		gàn huór		
干吗		gàn má		
公用电话		gōngyòng diànhuà		
鼓舞		gǔwǔ		
挂号		guà hào		
过年		guò nián		
毫不		háo bù		
毫无		háo wú		
滑冰		huá bīng		
回信		huí xìn		
会客		huì kè		
及格		jí gé		
既…也…		jì … yě …		
既…又…		jì … yòu …		
加工		jiā gōng		
讲话		jiǎng huà		
接到		jiē dào		
结婚		jié hūn		
进口		jìn kǒu		
进一步		jìn yí bù		
敬礼		jìng lǐ		
开会		kāi huì		
开课		kāi kè		
看不起		kàn bu qǐ		
看样子		kàn yàngzi		
来不及		lái bu jí		
来得及		lái de jí		
离婚		lí hūn		
理发		lǐ fà		
力所能及		lì suǒ néng jí		
聊天儿		liáo tiānr		
了不起		liǎobuqǐ		
录像		lù xiàng		
没错		méi cuò		
没什么		méi shénme		
没事儿		méi shìr		
没用		méi yòng		
碰见		pèng jiàn		
拼命		pīn mìng		
请客		qǐng kè		
伤心		shāng xīn		
上班		shàng bān		
上当		shàng dàng		
生气		shēng qì		
失业		shī yè		
施工		shī gōng		
实事求是		shí shì qiú shì		
算了		suàn le		
谈话		tán huà		
听讲		tīng jiǎng		
吸烟(抽烟)		xī yān (chōu yān)		
下班		xià bān		
一方面…一方面…		yī fāngmiàn … yī fāngmiàn …		
一…也		yī … yě …		
用不着		yòng bu zháo		
用功		yòng gōng		
用力		yòng lì		
有用		yǒu yòng		
遇见		yù jiàn		
越…越…		yuè … yuè …		
越来越…		yuèláiyuè		
造句		zào jù		
展开		zhǎn kāi		
…之后		zhī hòu		
…之前		zhī qián		
…之上		zhī shàng		
…之下		zhī xià		
…之一		zhī yī		
…之中		zhī zhōng		
至今		zhì jīn		
住院		zhù yuàn		
抓紧		zhuā jǐn		
走道		zǒu dào		
做客		zuò kè		
做梦		zuò mèng		
作文		zuò wén		
坐班		zuò bān		
