Phrase	Grammar	Transcription	Translation	Notes
癌	N	ái		
奥秘	N	àomì		
把握	v, n	bǎwò		
坝	N	bà		
百货	N	bǎihuò		
柏树	N	bǎishù		
瓣	N	bàn		
半岛	N	bàndǎo		
帮	N	bāng		
棒	N	bàng		
包袱	N	bāofu		
保管	v, n	bǎoguǎn		
保险	adj, n	bǎoxiǎn		
保障	v, n	bǎozhàng		
宝	N	bǎo		
宝石	N	bǎoshí		
报酬	N	bàochou		
报复	v, n	bàofù		
报刊	N	bàokān		
报社	N	bàoshè		
暴雨	N	bàoyǔ		
辈	n, m	bèi		
背包	N	bēibāo		
背景	N	bèijǐng		
背心	N	bèixīn		
比方	N	bǐfang		
笔试	N	bǐshì		
壁	N	bì		
边疆	N	biānjiāng		
边界	N	biānjiè		
边缘	N	biānyuán		
编辑	v, n	biānjí		
编制	v, n	biānzhì		
变动	v, n	biàndòng		
变革	v, n	biàngé		
辩论	v, n	biànlùn		
标语	N	biāoyǔ		
标志	v, n	biāozhì		
表情	N	biǎoqíng		
别处	N	biéchù		
别字	N	biézì		
冰棍儿	N	bīnggùnr		
柄	N	bǐng		
丙	N	bǐng		
饼	N	bǐng		
病床	N	bìngchuáng		
病情	N	bìngqíng		
剥削	v, n	bōxuē		
波浪	N	bōlàng		
菠菜	N	bōcài		
博士	N	bóshì		
博物馆	N	bówùguǎn		
不是	N	búshi		
布告	N	bùgào		
步骤	N	bùzhòu		
部署	v, n	bùshǔ		
猜想	v, n	cāixiǎng		
裁缝	N	cáifeng		
裁判	v, n	cáipàn		
才	N	cái		
才能	N	cáinéng		
财产	N	cáichǎn		
财富	N	cáifù		
财政	N	cáizhèng		
餐车	N	cānchē		
参谋	v, n	cānmóu		
蚕	N	cán		
苍蝇	N	cāngying		
舱	N	cāng		
仓库	N	cāngkù		
草案	N	cǎo'àn		
侧	n, v	cè		
测试	v, n	cèshì		
差别	N	chābié		
茶馆	N	cháguǎn		
茶话会	N	cháhuàhuì		
茶叶	N	cháyè		
铲	n, v	chǎn		
产物	N	chǎnwù		
产值	N	chǎnzhí		
常识	N	chángshí		
长度	N	chángdù		
肠	N	cháng		
厂长	N	chǎngzhǎng		
场地	N	chǎngdì		
场合	N	chǎnghé		
场面	N	chǎngmiàn		
钞票	N	chāopiào		
潮	N	cháo		
车辆	N	chēliàng		
车厢	N	chēxiāng		
尘土	N	chéntǔ		
称呼	v, n	chēnghu		
成本	N	chéngběn		
成语	N	chéngyǔ		
成员	N	chéngyuán		
乘客	N	chéngkè		
程序	N	chéngxù		
池	N	chí		
尺寸	N	chǐcun		
尺子	N	chǐzi		
赤道	N	chìdào		
冲突	v, n	chōngtū		
仇	N	chóu		
仇恨	v, n	chóuhèn		
初期	N	chūqī		
初中	N	chūzhōng		
出路	N	chūlù		
出身	v, n	chūshēn		
出息	N	chūxi		
传说	v, n	chuánshuō		
窗口	N	chuāngkǒu		
窗帘	N	chuānglián		
窗台	N	chuāngtái		
床单	N	chuángdān		
创新	v, n	chuàngxīn		
春季	N	chūnjì		
瓷	N	cí		
词汇	N	cíhuì		
此刻	N	cǐkè		
刺激	v, n	cìjī		
丛	N	cóng		
村庄	N	cūnzhuāng		
村子	N	cūnzi		
挫折	N	cuòzhé		
错字	N	cuòzì		
答复	v, n	dáfù		
大半	n, adv	dàbàn		
大便	N	dàbiàn		
大道	N	dàdào		
大地	N	dàdì		
大队	N	dàduì		
大哥	N	dàgē		
大脑	N	dànǎo		
大嫂	N	dàsǎo		
大使	N	dàshǐ		
大意	N	dàyì		
大众	N	dàzhòng		
大自然	N	dǎzìrán		
带儿	N	dàir		
代办	n, v	dàibàn		
代价	N	dàijià		
待遇	N	dàiyù		
胆	N	dǎn		
蛋白质	N	dànbáizhì		
当初	N	dāngchū		
当代	N	dāngdài		
