Phrase	Grammar	Transcription	Translation	Notes
车厢		chēxiāng		
事故		shìgù		
卧具		wòjù		
上车		shàngchē		
盒饭		héfàn		
买		mǎi		
换车		huànchē		
查票		chápiào		
打扫		dǎsǎo		
列车员		lièchē yuán		
晚点		wǎndiǎn		
餐车		cānchē		
显示		xiǎnshì		
电子屏幕		diànzǐ píngmù		
特快		tèkuài		
票价		piàojià		
下车		xiàchē		
上车		shàngchē		
硬座		yìngzuò		
硬卧		yìngwò		
用餐		yòngcān		
慢车		mànchē		
长途		chángtú		
下铺		xiàpù		
现代		xiàndài		
准时		zhǔnshí		
正点		zhèngdiǎn		
单程票		dānchéng piào		
人员		rényuán		
站台		zhàntái		
月台		yuètái		
推迟		tuīchí		
来回票		láihuí piào		
卖		mài		
服务		fúwù		
卧铺		wòpù		
小吃		xiǎochī		
零食		língshí		
软卧		ruǎnwò		
票		piào		
售票处		shòupiàochù		
整理		zhěnglǐ		
时刻表		shíkè biǎo		
火车站		huǒchē zhàn		
等		děng		
候车室		hòuchēshì		
上铺		shàngpù		
