Phrase	Grammar	Transcription	Translation	Notes
按		àn		
到站		dàozhàn		
去		qù		
公共汽车站		gōnggòng qìchēzhàn		
叫		jiào		
售票员		shòupiàoyuán		
押金		yājīn		
方向		fāngxiàng		
开		kāi		
司机		sījī		
快		kuài		
先		xiān		
头班地铁		tóubān dìtiě		
末班地铁		mò bān dìtiě		
下车		xiàchē		
上车		shàngchē		
包		bāo		
多久来一趟？		duōjiǔ lái yī tàng		
后		hòu		
开		kāi		
师傅		shīfu		
计程表		jìchéngbiǎo		
月票		yuèpiào		
下一站		xiàyízhàn		
乘客		chéngkè		
价钱		jiàqian		
租		zū		
慢		màn		
停		tíng		
站		zhàn		
地铁		dìtiě		
地铁站		dìtiě zhàn		
坐车		zuò chē		
打的		dǎdī		
打出租车		dǎ chūzūchē		
打计程车		dǎ jìchéngchē		
打的士		dǎ díshì		
天安门广场		tiān'ānmén guǎngchǎng		
票		piào		
小费		xiǎofèi		
换车		huànchē		
交通		jiāotōng		
运输		yùnshū		
电车		diànchē		
几路		jǐlù		
以内		yǐnèi		
