Phrase	Transcription	Translation	Notes
//STSC Threshold/入门第十一课
里边[裡邊]	li3 bian5	(n) inside
教学楼[教學樓]	jiao4 xue2 lou2	teaching building
办公楼[辦公樓]	ban4 gong1 lou2	administrative building
北边[北邊]	bei3 bian5	(n) location to the north
西边[西邊]	xi1 bian5	(n) west side; to the west of
附近[附近]	fu4jin4	(in the) vicinity; nearby; neighboring; next to
饭馆儿[飯館兒]	fan4 guan3er5	restaurant
东边[東邊]	dong1 bian5	(n) eastern side
还[還]	hai2	also; in addition; more; still; else; still; yet; (not) yet
电影[電影]	dian4ying3	movie; film
电影院[電影院]	dian4ying3yuan4	cinema; movie theater
对面[對面]	dui4mian4	opposite
药[葯]	yao4	medicine
旁边[旁邊]	pang2 bian5	lateral; side
茶叶[茶葉]	cha2ye4	tea; tea-leaves
们[們]	men5	(plural marker for pronouns and a few animate nouns)
照片[照片]	zhao4pian4	photograph; picture
左边[左邊]	zuo3 bian5	left
右边[右邊]	you4 bian5	right (as opposed to left)
中间[中間]	zhong1jian1	between; intermediate; mid; middle
后边[後邊]	hou4 bian5	back; rear; behind
桌子[桌子]	zhuo1zi5	table; desk
台灯[檯燈]	tai2deng1	desk lamp; table lamp
张[張]	zhang1	(a measure word); (a surname); open up
男[男]	nan2	male
男朋友[男朋友]	nan2peng2you5	male friend; boyfriend
下边[下邊]	xia4 bian5	(n) under
抽屉[抽屜]	chou1ti5	drawer
块[塊]	kuai4	piece; chunk; lump; (measure word for chunks, lumps)
巧克力[巧克力]	qiao3ke4li4	chocolate
前边[前邊]	qian2 bian5	(n) the area in front of sth
鞋[鞋]	xie2	shoe
眼镜[眼鏡]	yan3jing4	spectacles; eyeglasses
闹钟[鬧鐘]	nao4 zhong1	alarm clock
上边[上邊]	shang4 bian5	upside
