Phrase	Transcription	Translation	Notes
出	chū	to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to occur; to happen; (a measure word for dramas, plays, or operas)	
妨碍	fángài	hinder; obstruct	
屋	wū	house; room	
那么	nàme	then; like that; in that way; or so; so; so very much; about; in that case	
打扰	dǎrǎo	disturb	
抱歉	bàoqiàn	be sorry; feel apologetic; regret	
让	ràng	to let; to ask; permit; have (someone do something); to yield; to allow	
久	jiǔ	(long) time; (long) duration of time	
叫	jiào	to ask; to let	
帮	bāng	to assist; to support; to help; group; gang; party	
送	sòng	to send; to deliver; to carry; to give (as a present); to present (with); to see off	
不好意思	bùhǎoyìsi	feel embarrassed; be ill at ease; find it embarrassing (to do sth)	
又	yòu	(once) again; also; both... and...; again	
帮忙	bāngmáng	help; give (lend) a hand; do a favor; do a good turn	
别	bié	do not; must not	
上	shàng	to go up	
要是	yàoshi	if	
马上	mǎshàng	at once; right away; immediately	
下	xià	to go down	
照相机	zhàoxiàngjī	camera	
照相	zhàoxiàng	take a photograph	
盒	hé	small box; case	
借	jiè	to lend; to borrow; excuse; pretext; by means of	
小说	xiǎoshuō	novel; fiction	
杂志	zázhì	magazine	
起来	qǐlai	to rise up; to stand up	
跑	pǎo	to run; to escape	
