Phrase	Transcription	Translation	Notes
//STSC Threshold/入门第三十课
向[向]	xiang4	to
告别[告別]	gao4 bie2	to leave; to bid farewell to; to say good-bye to
行李[行李]	xing2 li5	luggage
收拾[收拾]	shou1 shi5	to pack up; to put in order; to tidy up
上班[上班]	shang4 ban1	to go to work; to be on duty; to start work; to go to the office
保重[保重]	bao3 zhong4	take care of oneself
饯行[餞行]	jian4xing2	to have a farewell dinner
祝[祝]	zhu4	to wish; invoke; pray to; to express good wishes
平安[平安]	ping2 an1	safe and sound; well; without mishap
幸福[幸福]	xing4 fu2	blessed; happiness; happy
顺利[順利]	shun4 li4	smoothly; without a hitch
刚[剛]	gang1	just; hard; firm; strong; barely; exactly
句[句]	ju4	(a measure word, for sentences or lines of verse); sentence
感谢[感謝]	gan3 xie4	(express) thanks; gratitude; grateful; thankful; thanks
舍不得[捨不得]	she3 bu5 de5	(adv) hate to do; (v) hate to part with
举[舉]	ju3	to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect
为[為]	wei4	for; because of; to
友谊[友誼]	you3 yi4	companionship; fellowship; friendship
干杯[乾杯]	gan1 bei1	to drink a toast; to propose a toast; here's to; cheers
洗照片[洗照片]	xi3zhao4pian4	to develop photographs
该[該]	gai1	should; ought to; owe; that; the above-mentioned; most likely; to deserve
登[登]	deng1	board (a plane); scale; climb; ascend; mount; go up; register; note; to publish; to issue; to record
手续[手續]	shou3 xu4	formalities
护照[護照]	hu4 zhao4	passport
机票[機票]	ji1 piao4	air ticket; passenger ticket
代[代]	dai4	for; substitute; replace; generation; dynasty; geological era; era; age; period
问好[問好]	wen4 hao3	say hello to; send one's regards to
顺风[順風]	shun4feng1	to have a good trip
