Phrase	Transcription	Translation	Notes
名词	míngcí	rzeczownik
专有名词	zhuānyǒu míngcí	rzeczownik własny
动词	dòngcí	czasownik
代词	dàicí	zaimek
形容词	xíngróngcí	przymiotnik
副词	fùcí	przysłówek
能愿动词	néngyuàn dòngcí	czasownik modalny
介词	jiècí	przyimek
量词	liàngcí	klasyfikator
数词	shùcí	liczebnik
连词	liáncí	spójnik
助词	zhùcí	partykuła
拟声词	nǐshēngcí	onomatopeja
主语	zhǔyǔ	podmiot
谓语	wèiyǔ	orzeczenie
宾语	bīnyǔ	dopełnienie
补语	bǔyǔ	okolicznik
陈述句	chénshù jù	zdanie oznajmujące
疑问句	yíwèn jù	zdanie pytające
祈使句	qíshǐ jù	zdanie rozkazujące
感叹句	gǎntàn jù	zdanie wykrzyknikowe
