Phrase	Translation	Notes
Hallo!	Cześć!
Guten Morgen!	Dzień dobry!
Guten Tag!	Dzień dobry!
Guten Abend!	Dobry wieczór!
grüßen	pozdrawiać
Gruß	pozdrowienie
begrüßen	witać
Wie geht's?	Jak leci?
Was gibt es Neues?	Co nowego?
Auf Wiedersehen!	Do widzenia!
Bis bald!	Do zobaczenia!
Lebe wohl!	Żegnaj!
Leben Sie wohl!	Żegnajcie!
sich verabschieden	pożegnać się
Tschüs!	Na razie!
Danke!	Dziękuję!
Danke schön!	Dziękuję bardzo!
Bitte!	Proszę!
Keine Ursache!	Nie ma za co!
Nichts zu danken!	Nie ma za co!
Entschuldige!	Wybacz!
Entschuldigung!	Przepraszam!
entschuldigen	wybaczyć
sich entschuldigen	przepraszać
Verzeihung!	Przepraszam!
verzeihen	wybaczać
Das macht nichts!	Nic nie szkodzi!
bitte	proszę
Nicht vergessen!	Pamiętaj!
Natürlich!	Oczywiście!
Natürlich nicht!	Oczywiście, że nie!
Gut! Okay!	Zgoda!
Es ist genug!	Dosyć!
