Phrase	Grammar	Transcription	Translation	Notes
آمريکا		āmrikā	Ameryka	
آمریککائی		āmrikā'i	amerykański	
آمریکائی		āmrikā'i	amerykański	
آن		ān	tamten; tamto	
آنها		ānhā	tamci	
ایران		Irān	Iran	
ایرانی		irāni	irański	
این		in	ten; to	
اینها		inhā	ci	
بچه		bačče	dziecko	
پنجره		panǧere	okno	
تهران		Tehrān	Teheran	
جوان		ǧavān	młody	
شهر		šahr	miasto	
آنجا		ānǧā	tam	
اینجا		inǧā	tutaj	
بسیار		besyār	bardzo	
بله		bale	tak	
بلی		bale	tak	
چرا		čerā	dlaczego	
خیلی		xeyli	bardzo	
در		dar	w	
کاملاً		kāmelan	zupełnie; całkowicie	
کجا		koǧā	gdzie	
نخیر		naxeyr	nie	
ولی		vali	ale	
است		-ast	jest	
اند		-and	są	
بود		bud	był	
بودند		budand	byli	
نبود		nebud	nie był	
نبودند		nebudand	nie byli	
نیست		nist	nie jest	
نیستند		nistand	nie są	
