Phrase	Transcription	Translation	Notes
שָלוֹם!	ʃalom!	Cześć!
בּוֹקֶר טוֹב!	'boker tov!	Dzień dobry!	rano
צָהֳרַיִים טוֹבִים!	ʦaha'rayim tovim!	Dzień dobry!	w południe
עֶרֶב טוֹב!	'erev tov!	Dobry wieczór!
לוֹמַר שָלוֹם	lomar ʃalom	pozdrawiać
הַיי!	hai!	Cześć!
אַהלַן	ahlan	pozdrowienia
מַה שלוֹמךָ?	ma ʃlomχa?	Jak się masz?	ז
מַה נִשמָע?	ma niʃma?	Co słychać?
מַה חָדָש?	ma χadaʃ?	Co nowego?
לְהִתרָאוֹת!	lehitraʾot!	Do widzenia!
בַּי!	bai!	Na razie!
לְהִתרָאוֹת בְּקָרוֹב!	lehitraʾot bekarov!	Do zobaczenia wkrótce!
לְהִתרָאוֹת!	lehitraʾot!	Żegnaj! Żegnajcie!
לוֹמַר לְהִתרָאוֹת	lomar lehitraʾot	żegnać się
בַיי!	bai!	Na razie!
תוֹדָה!	toda!	Dziękuję!
תוֹדָה רַבָּה!	toda raba!	Dziękuję bardzo!
בְּבַקָשָה	bevakaʃa	Proszę	odpowiedź na podziękowanie
עַל לֹא דָבָר	al lo davar	Nie ma za co
אֵין בְּעַד מָה	ein beʿad ma	Nie ma za co
סלִיחָה!	sliχa!	Przepraszam!
לִסלוֹחַ	lis'loaχ	wybaczyć
לְהִתנַצֵל	lehitnaʦel	przepraszać
אֲנִי מִתנַצֵל	ani mitnaʦel	Proszę o wybaczenie	ז
אֲנִי מִתנַצֵלֶת	ani mitna'ʦelet	Proszę o wybaczenie	נ
אֲנִי מִצטַעֵר	ani miʦtaʿer	Proszę wybaczyć	ז
אֲנִי מִצטַעֵרֶת	ani miʦta'ʿeret	Proszę wybaczyć	נ
לִסלוֹחַ	lis'loaχ	wybaczać	komuś
לֹא נוֹרָא	lo nora	Nic się nie stało
בְּבַקָשָה	bevakaʃa	proszę
אַל תִשכַּח!	al tiʃkaχ!	Nie zapomnij!	ז
בֶּטַח!	'betaχ!	Oczywiście!
בֶּטַח שֶלֹא!	'betaχ ʃelo!	Oczywiście, że nie!
אוֹקֵיי!	okei!	W porządku!
מַספִּיק!	maspik!	Dosyć! Wystarczy!
