Phrase	Transcription	Translation	Notes
אֶפֶס	'efes	zero	ז
אֶחָד	eχad	jeden	ז
אַחַת	aχat	jedna	נ
שתַיִים	'ʃtayim	dwa	נ
שָלוֹש	ʃaloʃ	trzy	נ
אַרבַּע	arba	cztery	נ
חָמֵש	χameʃ	pięć	נ
שֵש	ʃeʃ	sześć	נ
שֶבַע	'ʃeva	siedem	נ
שמוֹנֶה	'ʃmone	osiem	נ
תֵשַע	'teʃa	dziewięć	נ
עֶשֶׂר	'eser	dziesięć	נ
אַחַת־עֶשׂרֵה	aχat esre	jedenaście	נ
שתֵים־עֶשֹרֵה	ʃteim esre	dwanaście	נ
שלוֹש־עֶשֹרֵה	ʃloʃ esre	trzynaście	נ
אַרְבַּע־עֶשֹרֵה	arba esre	czternaście	נ
חֲמֵש־עֶשֹרֵה	χameʃ esre	piętnaście	נ
שֵש־עֶשֹרֵה	ʃeʃ esre	szesnaście	נ
שבַע־עֶשֹרֵה	ʃva esre	siedemnaście	נ
שמוֹנֶה־עֶשֹרֵה	ʃmone esre	osiemnaście	נ
תשַע־עֶשֹרֵה	tʃa esre	dziewiętnaście	נ
עֶשׂרִים	esrim	dwadzieścia
עֶשׂרִים וְאֶחָד	esrim veʾeχad	dwadzieścia jeden
עֶשׂרִים וּשנַיִים	esrim u'ʃnayim	dwadzieścia dwa
עֶשׂרִים וּשלוֹשָה	esrim uʃloʃa	dwadzieścia trzy
שלוֹשִים	ʃloʃim	trzydzieści
שלוֹשִים וְאֶחָד	ʃloʃim veʾeχad	trzydzieści jeden
שלוֹשִים וּשנַיִים	ʃloʃim u'ʃnayim	trzydzieści dwa
שלוֹשִים וּשלוֹשָה	ʃloʃim uʃloʃa	trzydzieści trzy
אַרבָּעִים	arbaʿim	czterdzieści
אַרבָּעִים וְאֶחָד	arbaʿim veʾeχad	czterdzieści jeden
אַרבָּעִים וּשנַיִים	arbaʿim u'ʃnayim	czterdzieści dwa
אַרבָּעִים וּשלוֹשָה	arbaʿim uʃloʃa	czterdzieści trzy
חֲמִישִים	χamiʃim	pięćdziesiąt
חֲמִישִים וְאֶחָד	χamiʃim veʾeχad	pięćdziesiąt jeden
חֲמִישִים וּשנַיִים	χamiʃim u'ʃnayim	pięćdziesiąt dwa
חֲמִישִים וּשלוֹשָה	χamiʃim uʃloʃa	pięćdziesiąt trzy
שִישִים	ʃiʃim	sześćdziesiąt
שִישִים וְאֶחָד	ʃiʃim veʾeχad	sześćdziesiąt jeden
שִישִים וּשנַיִים	ʃiʃim u'ʃnayim	sześćdziesiąt dwa
שִישִים וּשלוֹשָה	ʃiʃim uʃloʃa	sześćdziesiąt trzy
שִבעִים	ʃivʿim	siedemdziesiąt
שִבעִים וְאֶחָד	ʃivʿim veʾeχad	siedemdziesiąt jeden
שִבעִים וּשנַיִים	ʃivʿim u'ʃnayim	siedemdziesiąt dwa
שִבעִים וּשלוֹשָה	ʃivʿim uʃloʃa	siedemdziesiąt trzy
שמוֹנִים	ʃmonim	osiemdziesiąt
שמוֹנִים וְאֶחָד	ʃmonim veʾeχad	osiemdziesiąt jeden
שמוֹנִים וּשנַיִים	ʃmonim u'ʃnayim	osiemdziesiąt dwa
שמוֹנִים וּשלוֹשָה	ʃmonim uʃloʃa	osiemdziesiąt trzy
תִשעִים	tiʃʿim	dziewięćdziesiąt
תִשעִים וְאֶחָד	tiʃʿim veʾeχad	dziewięćdziesiąt jeden
תִשעִים וּשנַיִים	tiʃʿim u'ʃnayim	dziewięćdziesiąt dwa
תִשעִים וּשלוֹשָה	tiʃʿim uʃloʃa	dziewięćdziesiąt trzy
