Phrase	Transcription	Translation	Notes
סִפרָה	sifra	cyfra	נ
מִספָּר	mispar	liczba	ז
שֵם מִספָּר	ʃem mispar	liczebnik	ז
מִינוּס	'minus	minus	ז
פּלוּס	plus	plus	ז
נוּסחָה	nusχa	wzór	נ
חִישוּב	χiʃuv	obliczenia	ז
לִספּוֹר	lispor	liczyć
לְחַשֵב	leχaʃev	obliczać
לְהַשווֹת	lehaʃvot	porównywać
כַּמָה?	'kama?	ile?
סכוּם	sχum	suma	ז
תוֹצָאָה	toʦaʾa	wynik	נ
שְאֵרִית	ʃeʾerit	reszta	נ
כַּמָה	'kama	kilka
קצָת	kʦat	trochę
מְעַט	meʿat	niewiele
שְאָר	ʃeʾar	pozostałość; reszta	ז
אֶחָד וָחֵצִי	eχad va'χeʦi	półtora	ז
תרֵיסָר	tresar	tuzin	ז
חֵצִי חֵצִי	'χeʦi 'χeʦi	po połowie
שָווֶה בְּשָווֶה	ʃave beʃave	po równo
חֵצִי	'χeʦi	połowa	ז
פַּעַם	'paʿam	raz	נ
