Phrase	Translation	Notes
Где?	Gdzie?
здесь	tu
там	tam
где-то	gdzieś
нигде	nigdzie
у	koło; przy
у окна	przy oknie
Куда?	Dokąd?
сюда	tutaj
туда	tam
отсюда	stąd
оттуда	stamtąd
близко	blisko
далеко	daleko
около	koło
рядом	obok
недалеко	niedaleko
левый	lewy
слева	z lewej
налево	w lewo
правый	prawy
справа	z prawej
направо	w prawo
спереди	z przodu
передний	przedni
вперёд	naprzód
сзади	z tyłu; od tyłu
назад	do tyłu
середина	środek
посередине	w środku
сбоку	z boku
везде	wszędzie
вокруг	dookoła
изнутри	z wewnątrz
куда-то	dokądś
напрямик	na wprost
обратно	z powrotem
откуда-нибудь	skądkolwiek
откуда-то	skądś
во-первых	po pierwsze
во-вторых	po drugie
в-третьих	po trzecie
вдруг	nagle
вначале	na początku
впервые	po raz pierwszy
задолго до …	na długo przed …
заново	od nowa
насовсем	na zawsze
никогда	nigdy
опять	znowu
теперь	teraz
часто	często
тогда	wtedy
срочно	pilnie
обычно	zwykle
кстати	a propos
возможно	może; możliwe
вероятно	prawdopodobnie
может быть	być może
кроме того	poza tym
поэтому	dlatego
несмотря на	mimo że
благодаря	dzięki
что	co
что	że
что-то	coś
что-нибудь	cokolwiek
ничего	nic
кто	kto
кто-то	ktoś
кто-нибудь	ktokolwiek
никто	nikt
никуда	nigdzie
ничей	niczyj
чей-нибудь	czyjkolwiek
так	tak
также	także
тоже	też
