Phrase	Translation	Notes
понедельник	poniedziałek
вторник	wtorek
среда	środa
четверг	czwartek
пятница	piątek
суббота	sobota
воскресенье	niedziela
сегодня	dzisiaj
завтра	jutro
послезавтра	pojutrze
вчера	wczoraj
позавчера	przedwczoraj
день	dzień
рабочий день	dzień roboczy
праздничный день	dzień świąteczny
выходной день	dzień wolny
выходные	weekend
весь день	cały dzień
на следующий день	następnego dnia
2 дня назад	dwa dni temu
накануне	w przeddzień
ежедневный	codzienny
ежедневно	codziennie
неделя	tydzień
на прошлой неделе	w zeszłym tygodniu
на следующей неделе	w następnym tygodniu
еженедельный	tygodniowy
еженедельно	co tydzień
2 раза в неделю	dwa razy w tygodniu
каждый вторник	co wtorek
