Phrase	Translation	Notes
утро	ranek
утром	rano
полдень	południe
после обеда	po południu
вечер	wieczór
вечером	wieczorem
ночь	noc
ночью	w nocy
полночь	północ
секунда	sekunda
минута	minuta
час	godzina
полчаса	pół godziny
четверть часа	kwadrans
15 минут	piętnaście minut
сутки	doba
восход солнца	wschód słońca
рассвет	świt
раннее утро	wczesny ranek
закат	zachód
рано утром	wcześnie rano
сегодня утром	dzisiaj rano
завтра утром	jutro rano
сегодня днём	dzisiaj w dzień
после обеда	po południu
завтра после обеда	jutro popołudniu
сегодня вечером	dzisiaj wieczorem
завтра вечером	jutro wieczorem
ровно в 3 часа	równo o trzeciej
около 4-х часов	około czwartej
к 12-ти часам	na dwunastą
через 20 минут	za dwadzieścia minut
через час	za godzinę
вовремя	na czas
без четверти	za kwadrans
в течение часа	w ciągu godziny
каждые 15 минут	co piętnaście minut
круглые сутки	całą dobę
