Phrase	Translation	Notes
материал	materiał
дерево	drewno
деревянный	drewniany
стекло	szkło
стеклянный	szklany
камень	kamień
каменный	kamienny
пластик	plastik
пластмасса	plastik
пластмассовый	plastikowy
резина	guma
резиновый	gumowy
ткань	tkanina
из ткани	z materiału
бумага	papier
бумажный	papierowy
картон	karton
картонный	kartonowy
полиэтилен	polietylen
целлофан	celofan
фанера	sklejka
фарфор	porcelana
фарфоровый	porcelanowy
глина	glina
глиняный	gliniany
керамика	ceramika
керамический	ceramiczny
