Phrase	Translation	Notes
голова	głowa
лицо	twarz
нос	nos
рот	usta
глаз	oko
глаза	oczy
зрачок	źrenica
бровь	brew
ресница	rzęsy
веко	powieka
язык	język
зуб	ząb
губы	wargi
скулы	kości policzkowe
десна	dziąsło
нёбо	podniebienie
ноздри	nozdrza
подбородок	podbródek
челюсть	szczęka
щека	policzek
лоб	czoło
висок	skroń
ухо	ucho
затылок	potylica
шея	szyja
горло	gardło
волосы	włosy
причёска	fryzura
стрижка	uczesanie
парик	peruka
усы	wąsy
борода	broda
носить (усы, бороду)	nosić (wąsy, brodę)
коса	warkocz
бакенбарды	baczki
рыжий	rudy
седой	siwy
лысый	łysy
лысина	łysina
хвост (причёска)	koński ogon
чёлка	grzywka
