Phrase	Translation	Notes
кисть	dłoń
рука	ręka
палец	palec
большой палец	kciuk
мизинец	mały palec
ноготь	paznokieć
кулак	pięść
ладонь	dłoń
запястье	nadgarstek
предплечье	przedramię
локоть	łokieć
плечо	ramię
нога	noga
ступня	stopa
колено	kolano
икра	łydka
бедро	biodro
пятка	pięta
тело	ciało
живот	brzuch
грудь	pierś
грудь (женская)	piersi
бок	bok
спина	plecy
поясница	krzyż
талия	talia
пупок	pępek
ягодицы	pośladki
зад	tyłek
родинка	pieprzyk
родимое пятно	znamię
татуировка	tatuaż
шрам	blizna
