Phrase	Translation	Notes
мода	moda
модный	modny
модельер	projektant mody
воротник	kołnierz
карман	kieszeń
карманный	kieszonkowy
рукав	rękaw
вешалка	wieszak
ширинка	rozporek
молния	zamek błyskawiczny
застёжка	zapięcie
пуговица	guzik
петля (для пуговицы)	dziurka na guzik
оторваться (о пуговице)	urwać się (o guziku)
шить	szyć
вышивать	haftować
вышивка	haft
игла (для шитья)	igła (do szycia)
нитка	nitka
шов	szew
испачкаться	wybrudzić się
пятно	plama
помяться (об одежде)	zmiąć się (o ubraniu)
порвать	rozerwać
моль	mól
