Phrase	Grammar	Transcription	Translation	Notes
hola			cześć	
yo			ja	
me llamo			nazywam się	
y			i; a	
vosotros			wy	
vosotras			wy	
ser			być	
el hotel			hotel	
el metro			metro	
el teléfono			telefon	
el taxi 			taksówka	
la calle			ulica	
la perfumería			perfumeria	
el bar			knajpa, bar	
la tapa			przekąska	
el bar de tapas			bar tapas	
la escuela 			szkoła	
la televisión			telewizja	
la estación			dworzec, stacja	
el aeropuerto			lotnisko	
el museo			muzeum	
el Museo del Prado			Muzeum Prado	
la música			muzyka	
el restaurante			restauracja	
gallego			galicyjski	
el teatro			teatr	
la plaza			plac	
España			Hiszpania	
el libro			książka	
el diccionario			słownik	
el español			język hiszpański	
actual			aktualny	
el aula	N		sala wykładowa, aula	
comprender			rozumieć	
la palabra			słowo	
no			nie	
¿qué?			co?	
significar			oznaczać	
el euro			euro	
gracias			dziękuję	
el arquitecto			architekt	
la arquitecta			architekt	
español			hiszpański	
el diseñador			projektant; rysownik	
la diseñadora			projektant; rysowniczka	
venezolano			wenezuelski	
el artista			artysta	
la artista			artystka	
colombiano			kolumbijski	
el bailarín			tancerz	
la bailarina			tancerka	
cubano			kubański	
el escritor			pisarz	
la escritora			pisarka	
uruguayo			urugwajski	
el cantante			piosenkarz; śpiewak	
la cantante			piosenkarka; śpiewaczka	
argentino			argentyński	
el nombre			imię	
el apellido			nazwisko	
la nacionalidad			narodowość	
la edad			wiek	
la profesión			zawód	
el estudiante			uczeń	
la estudiante			uczennica	
el correo electrónico			poczta elektroniczna; e-mail	
francés			francuski; francuska	
el camarero			kelner	
la camarera			kelnerka	
alemán			niemiecki	
el enfermero			pielęgniarz	
 la enfermera			pielęgniarka	
brasileño			brazylijski	
la pregunta			pytanie	
¿cómo?			jak?	
¿Cómo te llamas?			Jak się nazywasz?	
¿cuántos?			ile?	
¿Cuántos años tienes?			Ile masz lat?	
Tengo 24 años.			Mam 24 lata.	
¿A qué te dedicas?			Czym się zajmujesz zawodowo?	
¿cuál?			jaki?	
tu			twój	
tus			twoi	
trabajar			pracować	
¿En qué trabajas?			Co robisz zawodowo?	
de			od	
¿de dónde?			skąd?	
¿De dónde eres?			Skąd jesteś?	
tener			mieć	
el móvil			telefon komórkowy	
el número de teléfono			numer telefonu	
para			żeby	
preguntar			pytać	
saber			wiedzieć	
el lugar de origen			miejsce pochodzenia	
vivir			mieszkać	
en			w	
mi			mój	
mis			moi	
la dirección			adres	
cocinar			gotować	
ver			widzieć, oglądać	
la tele			telewizja	
ver la tele			oglądać telewizję	
el esquí			narciarstwo	
ir a			iść do	
el gimnasio			klub fitness	
ir al gimnasio			iść do klubu fitness	
cantar			śpiewać	
el tenis			tenis	
salir de noche			wychodzić wieczorem z domu	
la noche			wieczór; noc	
leer			czytać	
la novela			powieść	
jugar al fútbol			grać w piłkę nożną	
escribir			pisać	
coleccionar			zbierać, kolekcjonować	
el sello			znaczek pocztowy	
la casa			dom	
el zapato			but	
el jamón			szynka	
el gato			kot, kocur	
la gata			kotka	
cero			zero	
la comida			jedzenie	
el queso			ser	
la guerra			wojna	
la colección			zbiór, kolekcja	
el jefe			szef	
la jefa			szefowa	
cincuenta			pięćdziesiąt	
el gol			bramka, gol	
el cine			kino	
el quilo			kilo	
la guitarra			gitara	
contar			liczyć	
el zoo			zoo	
general			ogólny	
joven			młody	
llamarse			nazywać się	
su			jego	
sus			jego	
italiano			włoski	
sí			tak	
el profesor			nauczyciel	
la profesora			nauczycielka	
el banco			bank	
la arroba			małpa	
trabajar de			pracować jako	
buenos días			dzień dobry	
buenas tardes			dobry wieczór	
buenas noches			dobranoc; dobry wieczór	
¿Qué tal?			Co słychać? Jak leci?	
adiós			do widzenia	
hasta luego			do zobaczenia	
¿Cómo estás?			Jak się masz?	
bien			dobrze	
tú			ty	
muy bien			bardzo dobrze	
turco			turecki	
belga			belgijski; belgijska	
marroquí			marokański	
estadounidense			amerykański	
el cocinero			kucharz	
la cocinera			kucharka	
el secretario			sekretarz	
la secretaria			sekretarka	
el periodista			dziennikarz	
la periodista			dziennikarka	
el juez			sędzia	
la jueza			sędzina	
el médico			lekarz	
la médica			lekarka	
el presidente			prezydent	
la presidenta			prezydent	
estudiar			uczyć się; studiować	
el bolígrafo			długopis	
se escribe			pisze się	
se dice			mówi się	
el diseñador gráfico			grafik komputerowy	
la diseñadora gráfica			grafik komputerowy	
el amigo			przyjaciel	
la amiga			przyjaciółka	
por favor			proszę	
la ropa			ubranie	
las vacaciones			ferie; wakacje; urlop	
la afición			hobby	
pasear			spacerować	
con			z	
el perro			pies	
la perra			suka	
viajar			podróżować	
México	N		Meksyk	
Cuba	N		Kuba	
la República Dominicana			Republika Dominikańska	
Puerto Rico	N		Portoryko	
Guatemala	N		Gwatemala	
Honduras	N		Honduras	
Nicaragua	N		Nikaragua	
El Salvador			Salwador	
Costa Rica	N		Kostaryka	
Panamá	N		Panama	
Venezuela	N		Wenezuela	
Colombia	N		Kolumbia	
Ecuador	N		Ekwador	
Perú	N		Peru	
Bolivia	N		Boliwia	
Paraguay	N		Paragwaj	
Chile	N		Czile	
Uruguay	N		Urugwaj	
Argentina	N		Argentyna	
el mariachi			mariachi	
típico			typowy	
el conjunto			zespół muzyczny	
el músico			muzyk	
la música			muzyk	
que			ten który	
tocar			grać	
tocar un instrumento			grać na instrumencie	
diverso			różny, inny	
como			jak	
el violín			skrzypce	
la trompeta			trąbka	
este			ten	
esta				
muy			ta	
popular			ludowy; popularny	
la boda			wesele	
el cumpleaños			urodziny	
la fiesta			święto; przyjęcie	
el origen			pochodzenie	
la melodía			melodia	
africano			afrykański	
e			i; a	
indígena			tubylczy	
la base			podstawa	
la salsa			salsa	
el estilo			styl	
ampliar			powiększać; rozszerzać	
modernizar			unowocześnić; modernizować	
el sonido			dźwięk	
la influencia			wpływ	
otro			inny	
latinoamericano			latynoamerykański	
el flamenco			flamenco	
el sur			południe	
principal			główny	
normalmente			zwykle	
acompañar con las palmas			akompaniować klaskaniem	
el tango			tango	
nacer en			zrodzić się w	
el barrio			dzielnica	
marginal			znajdujący się na obrzeżach; drugorzędny	
expresar			wyrażać	
todo el			cały	
toda la			cała	
la melancolía			melancholia	
el emigrante			emigrant	
la emigrante			emigrantka	
el mundo			świat	
¿Todo bien?			Wszystko w porządku?	
chao			cześć	
hasta la próxima			do następnego razu	
nos vemos			zobaczymy się jeszcze	
¿Cómo están?			Jak się macie?	
¿Qué onda?			Jak leci?	
¿Cómo estás?			Jak się masz?	
