Phrase	Translation	Notes
el, la	(rodzajnik określony)	art
de	należący do; z	prep
que	ten, który	conj
y	i; a	conj
a	do; ku; w	prep
en	w	prep
un	(rodzajnik nieokreślony rodzaju męskiego)	art
ser	być	v
se	się	pron
no	nie	adv
haber	mieć	v
por	przez	prep
con	z	prep with
su	jego; jej; ich; wasz	adj
para	dla; żeby; aby	prep
como	tak jak; jako	conj
estar	być	v
tener	mieć	v
le	jemu	pron
lo	(rodzajnik określony)	art
lo	jego; go	pron
todo	wszystko; każdy	adj
pero	ale; z wyjątkiem; poza	conj
más	bardziej; więcej	adj
hacer	robić	v
o	lub	conj
poder	móc; być w stanie; potrafić	v
decir	powiedzieć	v
este	ten	adj
ir	iść; jechać	v
otro	inny; drugi	adj
ese	tamten	adj
la	ją	pron
si	jeśli; czy	conj
me	mnie	pron
ya	już	adv
ver	zobaczyć	v
porque	ponieważ	conj
dar	dać	v
cuando	gdy; kiedy	conj
él	on	pron
muy	bardzo	adv
sin	bardziej	prep
vez	raz	nf
mucho	dużo	adj
saber	wiedzieć	v
qué	co? który? jak...?	pron
sobre	na; nad; o	prep
mi	mój	adj
alguno	jakiś; pewien	adj
mismo	taki sam; ten sam	adj
yo	ja	pron
también	także; też	adv
hasta	do; aż do	prep
año	rok	nm
dos	dwa	num
querer	lubić; kochać	v
entre	wśród; pomiędzy	prep
así	tak; w ten sposób	adv
primero	pierwszy	adj
desde	od	prep
grande	duży; wielki	adj
eso	tamto	pron
ni	ani	conj
nos	nas	pron
llegar	przybyć	v
pasar	minąć; spędzać (czas)	v
tiempo	czas; pogoda	nm
ella	ona	pron
sí	tak	adv
día	dzień	nm
uno	jeden	num
bien	dobrze	adv
poco	trochę; nieco	adj
deber	musieć; być winnym	v
entonces	zatem; więc	adv
poner	położyć; umieścić	v
cosa	rzecz	nf
tanto	tak bardzo; tyle	adj
hombre	człowiek; mężczyzna	nm
parecer	wydawać się; być podobnym	v
nuestro	nasz	adj
tan	tak bardzo	adv
donde	gdzie	conj
ahora	teraz	adv
parte	część	nf
después	następnie; później	adv
vida	życie	nf
quedar	pozostać	v
siempre	zawsze	adv
creer	wierzyć; myśleć; sądzić	v
hablar	mówić	v
llevar	zabierać; nosić	v
dejar	pozwolić; zostawić	v
nada	nic	pron
cada	każdy	adj
seguir	iść za; kontunuować	v
menos	mniej	adj
nuevo	nowy	adj
encontrar	znaleźć	v
