Phrase	Translation	Notes
algo	coś; trochę	pron
sólo	tylko; jedynie	adv
pues	następnie; zatem	conj
llamar	wołać; nazywać	v
venir	przychodzić; przybywać	v
pensar	myśleć	v
aquel	tamten tam	adj
el momento	chwila; moemnt	nm
sino	lecz; z wyjątkiem	conj
esto	ten	pron
salir	wychodzić	v
volver	wracać; zrobić coś znowu	v
la forma	kształt; forma; wposób	nf
antes	przedtem; zanim	adv
bueno	dobry	adj
la casa	dom	nf
aunque	chociaż; mimo, że	conj
el mundo	świat	nm
tres	trzy	num
tal	tak; taki	adj
mejor	lepszy; najlepszy	adj
tomar	brać; wypić	v
cierto	pewien; pewny	adj
conocer	znać	v
hacia	ku; aż do	prep
cómo	jak?	adv
la mujer	kobieta; żona	nf
vivir	żyć; mieszkać	v
aquí	tutaj	adv
el caso	przypadek; okoliczność	nm
sentir	czuć; żałować	v
luego	później; następnie	adv
el país	kraj	nm
tratar	próbować; traktować; obchodzić się	v
el lugar	miejsce; pozycja	nm
te	ciebie	pron (obj/+fam)
la persona	osoba	nf
mayor	większy; starszy; główny	adj
último	ostatni; finalny	adj
propio	własny; typowy	adj
quien	kto	pron
mirar	patrzeć; oglądać	v
la hora	godzina; czas	nf
ninguno	żaden	adj
ninguno	nikt	pron
el trabajo	praca; robota	nm
casi	prawie; niemal	adv
el punto	punkt; kropka	nm
durante	podczas; w czasie	adv
cualquier	jakikolwiek; którykolwiek	adj
cualquier	ktokolwiek	pron
la mano	ręka	nf
nunca	nigdy	adv
la manera	sposób; maniera	nf
cual	który	pron
mientras	podczas, gdy	conj
contar	opowiadać; liczyć	v
el fin	koniec	nm
el tipo	typ; rodzaj	nm
la gente	ludzie	nf
además	ponadto; oprócz tego	adv
solo	samotny; sam	adj
empezar	zaczynać; rozpoczynać	v
un ejemplo	przykład	nm
esperar	czekać; mieć nadzieję; spodziewać się	v
hoy	dzisiaj	adv
el lado	strona	nm
el hijo	syn	nm
los hijos	dzieci
allí	o tam	adv
éste	ten	pron
el problema	problem	nm
la cuenta	rachunek	nf
el medio	środek	nm
contra	przeciw	prep
buscar	szukać	v
dentro	wewnątrz	adv
largo	długi	adj
la palabra	słowo	nf
existir	istnieć	v
el niño	dziecko; chłopczyk	nm
entrar	wchodzić	v
el embargo	embargo; konfiskata	nm 
sin embargo	a jednak; swoją drogą
único	jedyny	adj
el padre	ojciec	nm
trabajar	pracować	v
pequeño	mały	adj
alto	wysoki	adj
el cambio	zmiana	nm
escribir	pisać	v
cuatro	cztery	num
ahí	tam	adv
perder	stracić	v
nosotros	my	pron
la historia	historia; opowieść	nf
la idea	pomysł	nf
el agua	woda	nf
producir	wytwarzać; powodować	v
la noche	noc; wieczór	nf
la ciudad	miasto	nf
el modo	sposób	nm
el nombre	imię; rzeczownik	nm
ocurrir	zdarzyć się	v
