Phrase	Grammar	Transcription	Translation	Notes
бака			babcia	
велик, -и, -а, -о			duży	
гимназија			liceum	
деда			dziadek	
домаћица			gospodyni domowa	
ђак			uczeń, uczennica	
зове се			nazywa się	
изволите			proszę	
језик			język	
књижевност			literatura	
лекар			lekarz	
мајка			matka	
млађи, -а, -е			młodszy	
отац			ojciec	
породица			rodzina	
прилично			dość dużo; wydatnie; dość	
сигурно			na pewno; oczywiście	
синко			synku	
српски, -а, -о			serbski	
студира			studiuje; bada	
студирати			badać; studiować	
уђите!			wejdźcie!	
ући			wejść	
ученица			uczennica	
отац			ojciec	
тата			tata	
мајка			matka	
мама			mama	
брат			brat	
бата			braciszek	
сестра			siostra	
сека			siostrzyczka	
баба			babka	
бака			babcia	
деда			dziadek	
дека			dziadek	
теча			wujek	mąż siostry ojca lub matki
стриц			stryjek	brat ojca
ујак			wujek	brat matki
тетка			ciotka	siostra matki lub ojca
стрина			stryjenka	żona brata ojca
ујна			ciotka	żona brata matki
