Phrase	Grammar	Transcription	Translation	Notes
каланд - тяпка
ток			winnica
нок			grusza
пиёла - пиала
коса - чаша
пой			noga
панҷа			łapa
мактаб			szkoła
покиза			czysto; czysty
тахта			deska
пахта			bawełna
тан			ciało
кӯза			dzban
кӯмак			pomoc
куча			ulica
мағоза			sklep
дафтар			zeszyt
харидам			kupiłem
харидем			kupiliśmy
ман			ja
каду			tykwa
пиёз			cebula
коштам			zasiałem
мекоранд			sieją
деҳқон			rolnik 
деҳқонон			rolnicy
аз			z
газвор			tkanina; materiał
бофта мешавад - ткётся
мо			my
ба дӯстам			mojemu przyjacielowi
хат			list
навиштам			napisałem
