Phrase	Translation	Notes
Selam!	Witaj!
Merhaba!	Witajcie!
Günaydın!	Dzień dobry!	rano
İyi günler!	Dzień dobry!	w ciągu dnia
İyi akşamlar!	Dobry wieczór!
selam vermek	pozdrawiać
Selam!	Cześć!
Merhaba!	Cześć!
selam	pozdrowienia
selamlamak	witać
Nasılsın?	Jak się masz?
Ne var ne yok?	Co słychać?
Hoşca kalın!	Do widzenia!
Görüşürüz!	Do zobaczenia!
Güle güle!	Żegnaj!
Elveda!	Żegnajcie!
vedalaşmak	pożegnać się
Hoşça kal!	Na razie!
Teşekkür ederim!	Dziękuję!
Çok teşekkür ederim!	Dziękuję bardzo!
Rica ederim	Proszę	odpowiedź na podziękowanie
Bir şey değil	Nie ma za co	odpowiedź na podziękowanie
Estağfurullah	Nie ma za co
Affedersin!	Wybacz!
Affedersiniz!	Wybaczcie!
affetmek	wybaczać
özür dilemek	przepraszać
Özür dilerim	Przepraszam
Affedersiniz!	Proszę wybaczyć!
lütfen	proszę	przy prośbie
Unutmayın!	Proszę nie zapomnieć!
Kesinlikle!	Oczywiście!
Tabi ki hayır!	Oczywiście, że nie!
Tamam!	Zgoda!
Yeter artık!	Wystarczy! Dość!
