Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
澉	gǎn	to wash name of a place	水			
鎭	zhèn	town, market place; suppress	金			
铏	xíng	sacrificial cauldron	金			
閤	gé	small side door; chamber	門			
赆	jìn	farewell present	貝			
赇	qiú	bribe	貝			
顣	cù	frown	àà			
骕	sù	name of a famous horse	馬			
飑	biāo	storm	風			
訄	qiú		言			
輓	wǎn	mourn; pull; draw	車			
鉤	gōu	hook, barb; sickle; stroke with	金			
鋹	chǎng	sharp; a keen edge; sharp point	金			
钘	xíng	ancient wine vessel	金			
陁	tuó	a steep bank, a declivity	阜			
耱	mò	a kind of farm tool	耒			
繫	xì	attach, connect, unite, fasten	糸			
鋵	tū		金			
鱵	zhēn		魚			
黨	dǎng	political party, gang, faction	黑			
禿	tū	bald, bare, stripped	禾			
貧	pín	poor, impoverished, needy	貝			
買	mǎi	buy, purchase; bribe, persuade	貝			
賈	jiǎ	surname; merchant; buy, trade	貝			
榀	pǐn		木			
緣	yuán	hem, margin; reason, cause; karma, fate	糸			
膶	rùn	(Cant.) liver	月			
茐	cong		艸			
螝	guī		虫			
訙	xùn		言			
誘	yòu	persuade, entice, induce; guide	言			
賦	fù	tax; give; endow; army; diffuse	貝			
贅	zhuì	unnecessary, superfluous	貝			
鄬	wéi	place in Henan province	邑			
釤	shàn	samarium	金			
鍵	jiàn	door bolt, lock bolt; key	金			
閮	tíng		門			
隻	zhī	single, one of pair, lone	隹			
飽	bǎo		食			
齒	chǐ	teeth; gears, cogs; age; KangXi radical 211	齒			
鯆	pū	the skate or ray	魚			
逿	dàng	a time; a row; to fall, miss	辵			
鮀	tuó	snakefish	魚			
鯝	gù	fish guts	魚			
鰁	quán	name of fish	魚			
鱤	gǎn		魚			
郕	chéng	state in Shandong province	邑			
镴	là	solder; tin	金			
韻	yùn	rhyme; vowel	音			
鮄	fú	gurnard	魚			
鲙	kuài	minced fish; hash	魚			
鳁	wēn	sardine	魚			
齁	hōu	snore loudly; very, extremely	鼻			
舖	pù	store, shop	舌			
膹	fèn		肉			
袣	yì		衣			
謿	cháo	ridicule, deride, scorn, jeer at	言			
陧	niè	in disorder; a dangerous condition of the State	阜			
坜	lì	a hole, pit	土			
坫	diàn	a stand on which to replace goblets after drinking	土			
甍	méng	rafters supporting roof tiles	瓦			
à	gěng	well rope	糸			
恝	jiá	carefree; indifferent manner; without sorrow	心			
飗	liú	soughing of wind; noise	風			
镙	luó		金			
镱	yì	ytterbium	金			
騾	luó	mule	馬			
魋	tuí	bear	鬼			
硱	kǔn		石			
祫	xiá		示			
筍	sǔn	bamboo shoot; joint; tendon	竹			
箖	lín		竹			
袧	gōu		衣			
迯	táo	escape, flee; abscond, dodge	辵			
郙	fǔ	to be exiled; delay payment for	邑			
酖	zhèn	wine with bird poison added	酉			
遘	gòu	to meet; to come across	辵			
阘	dá	upper-story door or window	門			
眭	suī	evil look of deep-set eyes	目			
餗	sù	a pot of cooked rice	食			
耖	chào		耒			
鯒	yǒng	a flathead (fish)	魚			
邶	bèi		邑			
絼	zhěn		糸			
颥	rú	the temporal bone	àà			
篚	fěi	round or oval covered-baskets with short legs	竹			
鳘	mǐn	codfish	魚			
䥺	yé	(same as 鋣) name of a double-edged sword, (simplified form 釾) a chemical element (鎄) (Es)				
虒	sī	an amphibious beast resembling a tiger with one horn; place name	虍			
裈	kūn	trousers, pants, shorts, drawers	衣			
遆	tí		辵			
麑	ní	fawn, young deer	鹿			
粚	lí		米			
託	tuō	entrust, rely on; commission	言			
鄚	mào		邑			
軌	guǐ	track, rut, path	車			
饋	kuì	offer food superior; send gift	食			
銳	ruì	sharp, keen, acute, pointed	金			
粌	yin		米			
紙	zhǐ	paper	糸			
