Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
赅	gāi	prepared for; inclusive	貝			
贽	zhì	gift superior; gift given	貝			
處	chù	place, locale; department	虍			
苤	piě	kohl rabi	艸			
峄	yì	a range of peaks in Shandong and Jiangsu; the name of a mountain	山			
桡	ráo	bent or twisted piece of wood	木			
雎	jū	osprey, fishhawk; hold back	隹			
鲋	fù	carp, carassicus auratus	魚			
鞫	jū	interrogate, question	革			
鼬	yòu	weasel, mustela itatis	à			
獯	xūn	a tribe of Scythians which invaded China during the Hsia dynasty	犬			
昀	yún	sun light; used in personal names	日			
痍	yí	wound, bruise, sore	疒			
蟊	máo	a fly which is used similarly to cantharides	虫			
鞴	bèi	saddle up horse; drive horse	革			
疖	jiē	pimple, sore, boil	疒			
熘	liū	to steam	火			
乇	tuō	to depend on, to entrust with	丿			
羸	léi	weak, lean, emaciated, exhausted	羊			
嵴	jǐ	mountain ridge	山			
栀	zhī	gardenia	木			
槲	hú	type of oak	木			
炝	qiàng	stir-fry or boil in water or oil then cook with a sauce	火			
炷	zhù	candle wick, lamp wick; stick of incense	火			
硐	dòng	variant of 洞, cave; chamber; pit	石			
锸	chā	spade, shovel; marking pin	金			
鹂	lí	Chinese oriole; Oriolus oriolus	鳥			
裾	jū	lapel, border of garment; skirt	衣			
侪	chái	a company, companion; together	人			
診	zhěn	examine patient, diagnose	言			
調	diào	transfer, move, change; tune	言			
珐	fà	enamel, cloissoné	玉			
縯	yǎn	long	糸			
哔	bì	used in transliterations	口			
屙	ē	to ease nature	尸			
旆	pèi	flag ornament; flags, banners	方			
佰	bǎi	hundred	人			
僦	jiù	to heir; to rent	人			
牯	gǔ	cow; bull; ox	牛			
钪	kàng	scandium	金			
掾	yuàn	a general designation of officials	手			
針	zhēn	needle; pin; tack; acupuncture	金			
仟	qiān	one thousand; leader of one thousand men	人			
圮	pǐ	destroyed, ruined; to subvert to injure	土			
芟	shān	mow, cut; weed out; scythe	艸			
崃	lái	mountain in Sichuan province	山			
廪	lǐn	granary; stockpile	广			
擘	bāi	thumb; break, tear open, rip	手			
笱	gǒu	a basket trap for fish, placed in the opening of a weir	竹			
跗	fū	the instep	足			
鲅	bà	fish name	魚			
硷	jiǎn	alkaline, alkali, lye, salt	石			
苎	zhù	china grass, ramie	艸			
匏	páo	gourd; musical instrument	勹			
嗾	sǒu	to set a dog on; incite, instigate	口			
圄	yǔ	prison, jail	囗			
彀	gòu	enough, adequate fully, quite	弓			
粳	jīng	non-glutinous rice	米			
卣	yǒu	wine pot	卜			
勐	měng	imperial degree; daoist magic	力			
掴	guāi		手			
涑	sù	river in Shansi province	水			
浞	zhuó	to soak, to steep in water	水			
玳	dài	tortoise shell	玉			
愍	mǐn	pity, sympathize with	心			
畛	zhěn	border, boundary; raised path	田			
赧	nǎn	blush, turn red	赤			
貉	háo	badger; raccoon dog	豸			
擀	gǎn	roll flat	手			
湫	jiǎo	a small pond; a damp and narrow place	水			
逦	lǐ	meandering, winding	辵			
椴	duàn	poplar, aspen	木			
铄	shuò	melt, smelt; shine	金			
箧	qiè	rattan box, suitcase, or case	竹			
刖	yuè	cutting off feet as form of punishment	刀			
鲮	líng	carp	魚			
訇	hōng	the sound of a crash	言			
茱	zhū	dogwood	艸			
啖	dàn	eat, feed; chew, bite; entice	口			
悭	qiān	miserly, parsimonious, stingy	心			
愀	qiǎo		心			
朐	qú	warm	月			
畈	fàn	field; farm	田			
鹨	liù	Anthus species (various)	鳥			
蛘	yáng	a weevil found in rice, etc.	虫			
佶	jí	strong, robust; exact, correct	人			
缃	xiāng	light-yellow color	糸			
晟	chéng	clear, bright; splendor, brightness	日			
鲱	fēi	herring	魚			
凼	dàng	ditch; pool	水			
苴	jū	sackcloth; female hemp plant	艸			
颛	zhuān	good, honest; simple; respectful	àà			
厍	shè	surname	厂			
匚	fāng	box; KangXi radical 22	匚			
徉	yáng	wonder, rove, stray; hesitating	彳			
洙	zhū	name of a river in Shandong	水			
氡	dōng	radon	气			
胗	zhēn	pustules of any kind, a rash or eruption.measles; various kinds of fever	肉			
癯	qú	thin, emaciated; worn, tired	疒			
鞒	qiáo	mud shoe, sledge for the feet	革			
