Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
今	jīn	now, today, modern era	人	1		
院	yuàn	courtyard, yard, court; school	阜	1		
识	shí	recognize, understand, know	言	1		
候	hòu	wait; expect; visit; greet	人	1		
飞	fēi	fly; go quickly; dart; high	乙	1		
车	chē	cart, vehicle; carry in cart	車	1		
服	fú	clothes; wear, dress	月	1		
怎	zěn	what? why? how?	心	1		
呢	ne	interrogative or emphatic final; (Cant.) this	口	1		
叫	jiào	cry, shout; hail, greet, call	口	1		
影	yǐng	shadow; image, reflection; photograph	彡	1		
字	zì	letter, character, word	子	1		
爱	ài	love, be fond of, like	爪	1		
商	shāng	commerce, business, trade	口	1		
请	qǐng	ask, request; invite; please	言	1		
视	shì	look at, inspect, observe, see	見	1		
九	jiǔ	nine	乙	1		
写	xiě	write; draw, sketch; compose	冖	1		
八	bā	eight; all around, all sides	八	1		
吗	ma	final interrogative particle	口	1		
吃	chī	eat; drink; suffer, endure, bear	口	1		
六	liù	number six	八	1		
医	yī	cure, heal; doctor, medical	匸	1		
号	hào	mark, sign; symbol; number	口	1		
语	yǔ	language, words; saying, expression	言	1		
七	qī	seven	一	1		
兴	xìng	thrive, prosper, flourish	八	1		
星	xīng	a star, planet; any point of light	日	1		
京	jīng	capital city	à	1		
米	mǐ	hulled or husked uncooked rice	米	1		
客	kè	guest, traveller; customer	宀	1		
友	yǒu	friend, companion; fraternity	又	1		
钱	qián	money, currency, coins	金	1		
热	rè	hot; heat; fever; restless; zeal	火	1		
坐	zuò	sit; seat; ride, travel by	土	1		
校	xiào	school; military field officer	木	1		
脑	nǎo	brain	肉	1		
谁	shuí	who? whom? whose? anyone?	言	1		
哪	nǎ	which? where? how?	口	1		
喜	xǐ	like, love, enjoy; joyful thing	口	1		
习	xí	practice; flapping wings	冫	1		
欢	huān	happy, pleased, glad; joy; enjoy	à	1		
冷	lěng	cold, cool; lonely	冫	1		
汉	hàn	Chinese people; Chinese language	水	1		
衣	yī	clothes, clothing; cover, skin	衣	1		
妈	mā	mother, mama	女	1		
读	dú	read, study; pronounce	言	1		
买	mǎi	buy, purchase; bribe, persuade	大	1		
岁	suì	year; age; harvest	山	1		
块	kuài	piece, lump; dollar	土	1		
姐	jiě	elder sister, young lady	女	1		
亮	liàng	bright, brilliant, radiant, light	à	1		
朋	péng	friend, pal, acquaintance	月	1		
谢	xiè	thank; decline	言	1		
钟	zhōng	clock; bell	金	1		
雨	yǔ	rain; rainy; KangXi radical 173	雨	1		
饭	fàn	cooked rice; food, meal	食	1		
睡	shuì	sleep, doze	目	1		
喝	hē	drink; shout, call out	口	1		
午	wǔ	noon; 7th terrestrial branch	十	1		
店	diàn	shop, store; inn, hotel	广	1		
爸	bà	father, papa	父	1		
桌	zhuō	table, desk, stand	木	1		
菜	cài	vegetables; dish, order; food	艸	1		
茶	chá	tea	艸	1		
狗	gǒu	dog, canis familiaris	犬	1		
杯	bēi	cup, glass	木	1		
租	zū	rent, lease; rental; tax	禾	1		
昨	zuó	yesterday; in former times, past	日	1		
漂	piào	float, drift; tossed about	水	1		
椅	yǐ	chair, seat	木	1		
猫	māo	cat	犬	1		
喂	wèi	interjection to call attention	口	1		
苹	píng	artemisia; duckweed; apple	艸	1		
