Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
为	wèi	do, handle, govern, act; be	丶	2		
到	dào	go to, arrive, been to	刀	2		
以	yǐ	by means of; thereby, therefore; consider as; in order to	人	2		
要	yào	necessary, essential; necessity	襾	2		
就	jiù	just, simply; to come, go to; to approach, near	尢	2		
可	kě	may, can, -able; possibly	口	2		
也	yě	also; classical final particle of strong affirmation or identity	乙	2		
得	dé	obtain, get, gain, acquire	彳	2		
着	zhe	make move, take action	目	2		
过	guò	pass, pass through, go across	辵	2		
道	dào	path, road, street; method, way	辵	2		
所	suǒ	place, location; numerary adjunct	戶	2		
然	rán	yes, certainly; pledge, promise	火	2		
事	shì	affair, matter, business; to serve; accident, incident	亅	2		
经	jīng	classic works; pass through	糸	2		
动	dòng	move, happen; movement, action	力	2		
还	hái	still, yet, also, besides	辵	2		
进	jìn	advance, make progress, enter	辵	2		
但	dàn	only; but, however, yet, still	人	2		
因	yīn	cause, reason; by; because (of)	囗	2		
从	cóng	from, by, since, whence, through	人	2		
日	rì	sun; day; daytime	日	2		
意	yì	thought, idea, opinion; think	心	2		
它	tā	it; other	宀	2		
长	zhǎng	long; length; excel in; leader	長	2		
第	dì	sequence, number; grade, degree	竹	2		
公	gōng	fair, equitable; public; duke	八	2		
已	yǐ	already; finished; stop	己	2		
情	qíng	feeling, sentiment, emotion	心	2		
知	zhī	know, perceive, comprehend	矢	2		
正	zhèng	right, proper, correct	止	2		
外	wài	out, outside, external; foreign	夕	2		
两	liǎng	two, both, pair, couple; ounce	一	2		
间	jiān	midpoint, space; place, locality	門	2		
问	wèn	ask about, inquire after	門	2		
最	zuì	most, extremely, exceedingly	曰	2		
手	shǒu	hand	手	2		
体	tǐ	body; group, class, body, unit; inferior	人	2		
等	děng		竹	2		
新	xīn	new, recent, fresh, modern	斤	2		
身	shēn	body; trunk, hull; rad. no. 158	身	2		
表	biǎo	show, express, manifest, display	衣	2		
给	gěi	give; by, for	糸	2		
次	cì	order, sequence; next	à	2		
门	mén	gate, door, entrance, opening	門	2		
常	cháng	common, normal, frequent, regular	巾	2		
教	jiào	teach, class	攴	2		
比	bǐ	to compare, liken; comparison; than	比	2		
员	yuán	member; personnel, staff member	口	2		
真	zhēn	real, actual, true, genuine	目	2		
走	zǒu	walk, go on foot; run; leave	走	2		
条	tiáo	clause, condition; string, stripe	木	2		
题	tí	forehead; title, headline; theme	àà	2		
别	bié	separate, other; do not	刀	2		
报	bào	report, tell, announce	手	2		
务	wù	affairs, business; must, should	夂	2		
场	chǎng	open space, field, market	土	2		
件	jiàn	numerary adjunct for article; matter	人	2		
便	biàn	convenience, ease; expedient	人	2		
司	sī	take charge of, control, manage; officer	口	2		
眼	yǎn	eye; eyelet, hole, opening	目	2		
非	fēi	not, negative, non-; oppose	非	2		
白	bái	white; pure, unblemished; bright	白	2		
思	sī	think, consider, ponder; final particle	心	2		
完	wán	complete, finish, settle; whole	宀	2		
色	sè	color, tint, hue, shade; form, body; beauty, desire for beauty	色	2		
路	lù	road, path, street; journey	足	2		
告	gào	tell, announce, inform; accuse	口	2		
边	biān	edge, margin, side, border	辵	2		
望	wàng	to look at, look forward; to hope, expect	月	2		
共	gòng	together with, all, total; to share	八	2		
让	ràng	allow, permit, yield, concede	言	2		
运	yùn	run; simplified form of 運 luck, fortune; ship, transport	辵	2		
笑	xiào	smile, laugh, giggle; snicker	竹	2		
步	bù	step, pace; walk, stroll	止	2		
每	měi	every, each	毋	2		
快	kuài	rapid, quick, speedy, fast; soon	心	2		
往	wǎng	go, depart; past, formerly	彳	2		
近	jìn	near, close; approach; intimate	辵	2		
夫	fū	man, male adult, husband; those	大	2		
准	zhǔn	approve, allow, permit; in accord	冫	2		
始	shǐ	begin, start; then, only then	女	2		
远	yuǎn	distant, remote, far; profound	辵	2		
备	bèi	prepare, ready, perfect	夂	2		
百	bǎi	one hundred; numerous, many	白	2		
离	lí	rare beast; strange; elegant	禸	2		
病	bìng	illness, sickness, disease	疒	2		
息	xī	rest, put stop to, end, cease	心	2		
火	huǒ	fire, flame; burn; anger, rage	火	2		
早	zǎo	early; soon; morning	日	2		
找	zhǎo	search, seek, look for; find	手	2		
吧	ba	emphatic final particle	口	2		
考	kǎo	examine, test; investigate	老	2		
红	hóng	red, vermillion; blush, flush	糸	2		
虽	suī	although, even if	虫	2		
希	xī	rare; hope, expect, strive for	巾	2		
房	fáng	house, building; room	戶	2		
黑	hēi	black; dark; evil, sinister	黑	2		
足	zú	foot; attain, satisfy, enough	足	2		
孩	hái	baby, child; children	子	2		
