Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
乎	hū	interrogative or exclamatory final particle	丿	3		
查	chá	investigate, examine, seek into	木	3		
轻	qīng	light; easy, simple; gentle	車	3		
易	yì	change; easy	日	3		
除	chú	eliminate, remove, except	阜	3		
阿	ā		阜	3		
李	lǐ	plum; judge; surname	木	3		
图	tú	diagram; chart, map, picture	囗	3		
历	lì	history; calendar	厂	3		
突	tū	suddenly, abruptly, unexpectedly	穴	3		
周	zhōu	Zhou dynasty; circumference	口	3		
较	jiào	compare; comparatively, more	車	3		
注	zhù	concentrate, focus, direct	水	3		
选	xuǎn	choose, select; elect; election	辵	3		
响	xiǎng	make sound, make noise; sound	口	3		
参	cān	take part in, intervene; ginseng	厶	3		
半	bàn	half	十	3		
节	jié	knot, node, joint; section	艸	3		
护	hù	protect, guard, defend, shelter	手	3		
音	yīn	sound, tone, pitch, pronunciation	音	3		
跟	gēn	heel; to follow, accompany; with	足	3		
留	liú	stop, halt; stay, detain, keep	田	3		
讲	jiǎng	explain; discuss; talk	言	3		
料	liào	consider, conjecture; materials, ingredients	斗	3		
终	zhōng	end; finally, in the end	糸	3		
答	dá	answer, reply; return; assent to	竹	3		
黄	huáng	yellow; surname	黃	3		
奇	qí	strange, unusual, uncanny, occult	大	3		
段	duàn	section, piece, division	殳	3		
故	gù	ancient, old; reason, because	攴	3		
河	hé	river; stream; yellow river	水	3		
害	hài	injure, harm; destroy, kill	宀	3		
双	shuāng	set of two, pair, couple; both	又	3		
境	jìng	boundary, frontier; area, region	土	3		
愿	yuàn	sincere, honest, virtuous	心	3		
网	wǎng	net; network; KangXi radical 122	网	3		
育	yù	produce, give birth to; educate	肉	3		
船	chuán	ship, boat, vessel	舟	3		
脸	liǎn	face; cheek; reputation	肉	3		
刻	kè	carve, engrave; quarter hour	刀	3		
刚	gāng	hard, tough, rigid, strong	刀	3		
般	bān	sort, manner, kind, category	舟	3		
怕	pà	to fear, be afraid of; apprehensive	心	3		
假	jiǎ	falsehood, deception; vacation	人	3		
久	jiǔ	long time (ago); time passage, grow late	丿	3		
拿	ná	take, hold, grasp; bring; with	手	3		
阳	yáng		阜	3		
急	jí	quick, quickly; urgent, pressing	心	3		
居	jū	live, dwell, reside, sit	尸	3		
环	huán	jade ring or bracelet; ring	玉	3		
àà	shù	tree; plant; set up, establish	木	3		
层	céng	storey, layer, floor, stratum	尸	3		
句	jù	sentence	口	3		
简	jiǎn	simple, terse, succinct, a letter	竹	3		
卡	kǎ	card, punch card; calorie	卜	3		
担	dān	carry, bear, undertake	手	3		
静	jìng	quiet, still, motionless; gentle	青	3		
检	jiǎn	check; examine	木	3		
差	chà	to differ; different, wrong; nearly, almost; an officer	工	3		
角	jiǎo	horn; angle, corner; point	角	3		
皮	pí	skin, hide, fur, feather; outer	皮	3		
啊	a	exclamatory particle	口	3		
超	chāo	jump over, leap over; surpass	走	3		
银	yín	silver; cash, money, wealth	金	3		
怪	guài	strange, unusual, peculiar	心	3		
香	xiāng	fragrant, sweet smelling, incense	香	3		
铁	tiě	iron; strong, solid, firm	金	3		
草	cǎo	grass, straw, thatch, herbs	艸	3		
脚	jiǎo	leg, foot; base, leg, foundation	肉	3		
酒	jiǔ	wine, spirits, liquor, alcoholic beverage	酉	3		
顾	gù	look back; look at; look after	àà	3		
换	huàn	change	手	3		
闻	wén	hear; smell; make known; news	門	3		
坏	huài	rotten, spoilt, bad, broken down	土	3		
楚	chǔ	name of feudal state; clear	木	3		
楼	lóu	building of two or more stories	木	3		
画	huà	a painting, picture, drawing; to draw	田	3		
耳	ěr	ear; merely, only; handle	耳	3		
短	duǎn	short; brief; deficient, lacking	矢	3		
遇	yù	meet, come across, encounter	辵	3		
康	kāng	peaceful, quiet; happy, healthy	广	3		
旧	jiù	old, ancient; former, past	日	3		
春	chūn	spring; wanton	日	3		
附	fù	adhere to, append; rely on near to	阜	3		
礼	lǐ	social custom; manners; courtesy	示	3		
板	bǎn	plank, board; iron or tin plate	木	3		
婚	hūn	get married; marriage, wedding	女	3		
鲜	xiān	fresh; delicious; attractive	魚	3		
词	cí	words; phrase, expression	言	3		
择	zé	select, choose, pick out	手	3		
健	jiàn	strong, robust, healthy; strength	人	3		
借	jiè	borrow; lend; make pretext of	人	3		
园	yuán	garden; park, orchard	囗	3		
牙	yá	tooth, molars, teeth; serrated	牙	3		
束	shù	bind, control, restrain; bale	木	3		
练	liàn	to practice, drill, exercise, train	糸	3		
爷	yé	father, grandfather	父	3		
嘴	zuǐ	mouth, lips	口	3		
戏	xì	theatrical play, show	戈	3		
典	diǎn	law, canon; documentation; classic, scripture	八	3		
