Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
巧	qiǎo	skillful, ingenious, clever	工	4		
戴	dài	wear on top; support	戈	4		
童	tóng	child, boy, servant boy; virgin	立	4		
乘	chéng	ride, ascend; avail oneself of; numerary adjunct for vehicles	丿	4		
挂	guà	hang, suspend; suspense	手	4		
奖	jiǎng	prize, reward; give award to	大	4		
厚	hòu	thick; substantial; greatly	厂	4		
镜	jìng	mirror; lens; glass; glasses	金	4		
烦	fán	bother, vex, trouble; troublesome	火	4		
签	qiān	sign, endorse; slip of paper	竹	4		
牌	pái	signboard, placard	片	4		
咱	zán	we, us	口	4		
奋	fèn	strive, exert effort; arouse	大	4		
播	bō	sow, spread; broadcast; cast away, reject	手	4		
桥	qiáo	bridge; beam, crosspiece	木	4		
寒	hán	cold, wintry, chilly	宀	4		
聚	jù	assemble, meet together, collect	耳	4		
袋	dài	pocket, bag, sack, pouch	衣	4		
暂	zàn	temporary	日	4		
估	gū	merchant; estimate, guess, presume	人	4		
拒	jù	ward off with hand, defend	手	4		
忆	yì	remember, reflect upon; memory	心	4		
闹	nào	quarrel; dispute hotly	門	4		
厉	lì	whetstone; grind, sharpen; whet	厂	4		
穷	qióng	poor, destitute, impoverished	穴	4		
码	mǎ	number, numerals; yard; symbol	石	4		
偶	ǒu	accidentally, coincidently; an idol	人	4		
稍	shāo	little, slightly; rather	禾	4		
矿	kuàng	mine; mineral, ore	石	4		
抬	tái	lift, carry	手	4		
倍	bèi	times, fold, multiple times	人	4		
污	wū	filthy, dirty, impure, polluted	水	4		
耐	nài	endure, bear; resist; patient	而	4		
粗	cū	rough, thick, course; rude	米	4		
悉	xī	know, learn about, comprehend	心	4		
详	xiáng	detailed, complete, thorough	言	4		
允	yǔn	to grant, to allow, to consent	儿	4		
剩	shèng	leftovers, residue, remains	刀	4		
漫	màn	overflow of water; spreading	水	4		
酸	suān	tart, sour; acid; stiff; spoiled	酉	4		
辛	xīn	bitter; toilsome, laborious; 8th heavenly stem	辛	4		
餐	cān	eat, dine; meal; food	食	4		
挺	tǐng	to stand upright, straighten; rigid	手	4		
励	lì	strive; encourage	力	4		
键	jiàn	door bolt, lock bolt; key	金	4		
扰	rǎo	disturb, annoy, agitate	手	4		
阅	yuè	examine, inspect, review, read	門	4		
汗	hàn	perspiration, sweat	水	4		
骗	piàn	swindle, cheat out of, defraud	馬	4		
龄	líng	age; years	齒	4		
惜	xī	pity, regret, rue, begrudge	心	4		
仔	zǐ	small thing, child; young animal	人	4		
俩	liǎ	two, pair	人	4		
籍	jí	record, register, list; census	竹	4		
凉	liáng	cool, cold; disheartened	冫	4		
貌	mào	countenance, appearance	豸	4		
猜	cāi	guess, conjecture, suppose; feel	犬	4		
怜	lián	pity, sympathize	心	4		
躺	tǎng	lie down, recline	身	4		
钢	gāng	steel; hard, strong, tough	金	4		
寄	jì	send, transmit, mail; rely on	宀	4		
汤	tāng	hot water; soup, gravy, broth	水	4		
肥	féi	fat, plump, obese; fertile	肉	4		
尝	cháng	taste; experience, experiment	小	4		
厌	yàn	dislike, detest, reject; satiate	厂	4		
脏	zàng	internal organs, viscera; dirty	肉	4		
幽	yōu	quiet, secluded, tranquil; dark	幺	4		
丢	diū	discard	一	4		
泉	quán	spring, fountain; wealth, money	水	4		
祝	zhù	pray for happiness or blessings	示	4		
陪	péi	accompany, be with, keep company	阜	4		
贺	hè	congratulate; send present	貝	4		
琴	qín	Chinese lute or guitar	玉	4		
恼	nǎo	angered, filled with hate	心	4		
敲	qiāo	strike, beat, pound, hammer; rap	攴	4		
暖	nuǎn	warm, genial	日	4		
糖	táng	sugar; candy; sweets	米	4		
擦	cā	wipe, scrub, rub, scour; brush	手	4		
肤	fū	skin; superficial, shallow	肉	4		
肚	dù	belly; abdomen; bowels	肉	4		
赢	yíng	win; surplus, gain, profit	à	4		
址	zhǐ	site, location, land for house	土	4		
悔	huǐ	repent, show remorse, regret	心	4		
邀	yāo	invite, welcome; meet, intercept	辵	4		
羽	yǔ	feather, plume; wings; rad. 124	羽	4		
盐	yán	salt	皿	4		
傅	fù	tutor, teacher; assist; surname	人	4		
帅	shuài	commander, commander-in-chief	巾	4		
扔	rēng	throw, hurl; throw away, cast	手	4		
傲	ào	proud, haughty, overbearing	人	4		
拾	shí	pick up, collect, tidy up; accounting form of the numeral ten	手	4		
填	tián	fill in, fill up; make good	土	4		
扮	bàn	dress up; dress up as	手	4		
愉	yú	pleasant, delightful; please	心	4		
慕	mù	long for, desire; admire	心	4		
秒	miǎo	beard of grain or corn; a second	禾	4		
塑	sù	model in clay, sculpt; plastics	土	4		
羞	xiū	disgrace, shame; ashamed; shy	羊	4		
盒	hé	small box or case; casket	皿	4		
棵	kē	numerary adjunct for trees	木	4		
