Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
捡	jiǎn	to pick up	手	5		
à	shān	to cut; delete	刀	5		
浏	liú	clear; bright; whistling	水	5		
裔	yì	progeny, descendants, posterity	衣	5		
浇	jiāo	spray, water, sprinkle	水	5		
姥	lǎo	maternal grandmother; midwife	女	5		
烫	tàng	scald, heat; wash; iron clothes	火	5		
惭	cán	ashamed, humiliated; shameful	心	5		
蝴	hú	butterfly	虫	5		
梨	lí	pear; opera; cut, slash	木	5		
醋	cù	vinegar; jealousy, envy	酉	5		
猾	huá	crafty, cunning, shrewd; deceitful	犬	5		
皂	zào	soap; black; menial servant	白	5		
酱	jiàng	any jam-like or paste-like food	酉	5		
糙	cāo	coarse, harsh, rough, unpolished rice	米	5		
屉	tì	drawer; tray; pad; screen	尸	5		
髦	máo	flowing hair of young child	髟	5		
椒	jiāo	pepper, spices	木	5		
桔	jú	Chinese bellflower; well-swept; the inner fibers of corn-stalks	木	5		
馒	mán	steamed bread; steamed dumplings	食	5		
嚏	tì	sneeze	口	5		
