Hanzi	Pinyin	Definition	Radical	HSK	Components	Notes
冤	yuān	grievance, injustice, wrong	冖	6		
鸦	yā	crow; Corvus species (various)	鳥	6		
蓬	péng	type of raspberry; fairyland	艸	6		
巷	xiàng	alley, lane	己	6		
栽	zāi	to cultivate, plant; to care for plants	木	6		
沾	zhān	moisten, wet, soak; touch	水	6		
诈	zhà	cheat, defraud, swindle; trick	言	6		
瞒	mán	deceive, lie; eyes half-closed	目	6		
纺	fǎng	spin, reel, weave; reeled pongee	糸	6		
罐	guàn	jar, jug, pitcher, pot	缶	6		
壤	rǎng	soil, loam, earth; rich	土	6		
颂	sòng	laud, acclaim; hymn; ode	àà	6		
膨	péng	to swell; swollen, bloated, inflated	肉	6		
谐	xié	harmonize, agree; joke, jest	言	6		
隙	xì	crack, split, fissure; grudge	阜	6		
绑	bǎng	bind, tie, fasten	糸	6		
嘿	hēi	be silent, be quiet	口	6		
挫	cuò	push down; chop down; grind	手	6		
辐	fú	spokes of wheel	車	6		
乞	qǐ	beg; request	乙	6		
哇	wa	vomit; cry of an infant	口	6		
绣	xiù	embroider; embroidery; ornament	糸	6		
杖	zhàng	cane, walking stick	木	6		
衍	yǎn	overflow, spill over, spread out	行	6		
攀	pān	climb; pull; hang on to	手	6		
譬	pì	metaphor, simile, example	言	6		
肆	sì	indulge; excess; numeral four; particle meaning now, therefore; shop	聿	6		
泣	qì	cry, sob, weep	水	6		
屡	lǚ	frequently, often, again and again	尸	6		
躁	zào	tense, excited, irritable	足	6		
椎	chuí	hammer, mallet; vertebra	木	6		
砸	zá	smash, crush, break; pound, mash	石	6		
帆	fān	sail; boat	巾	6		
窜	cuàn	run away; revise, edit; expel	穴	6		
丸	wán	small round object; pellet, pill	丶	6		
斩	zhǎn	cut, chop, sever; behead	車	6		
堤	dī	dike	土	6		
塌	tā	fall in ruins, collapse	土	6		
贩	fàn	peddler, hawker, street merchant	貝	6		
掀	xiān	lift, raise; stir	手	6		
谜	mí	riddle, conundrum; puzzle	言	6		
捏	niē	pick with fingers; knead; mold	手	6		
滨	bīn	beach, sea coast; river bank	水	6		
虏	lǔ	to capture, imprison, seize; a prison	虍	6		
卸	xiè	lay down; retire from office	卩	6		
沼	zhǎo	lake, fishpond, swamps	水	6		
株	zhū	numerary adjunct for trees; root	木	6		
剖	pōu	split in two, slice; dissect	刀	6		
劈	pī	cut apart, split, chop	刀	6		
哗	huā	rushing sound; gush forward	口	6		
怯	qiè	lacking in courage, afraid	心	6		
沫	mò	froth, foam, bubbles, suds	水	6		
竖	shù	perpendicular, vertical; erect	立	6		
峻	jùn	high, steep, towering; stern	山	6		
捞	lāo	scoop out of water; dredge, fish	手	6		
鄙	bǐ	mean; low	邑	6		
魄	pò	vigor; body; dark part of moon	鬼	6		
兜	dōu	pouch	儿	6		
哄	hōng	coax; beguile, cheat, deceive	口	6		
颖	yǐng	rice tassel; sharp point; clever	àà	6		
屑	xiè	bits, scraps, crumbs, fragments	尸	6		
蚁	yǐ	ants	虫	6		
渗	shèn	soak through, infiltrate	水	6		
秃	tū	bald	禾	6		
旱	hàn	drought; dry; dry land	日	6		
谴	qiǎn	reprimand, scold, abuse	言	6		
稻	dào	rice growing in field, rice plant	禾	6		
铸	zhù	melt, cast; coin, mint	金	6		
恍	huǎng	seemingly; absent-minded	心	6		
贬	biǎn	decrease, lower; censure, criticize	貝	6		
烛	zhú	candle, taper; shine, illuminate	火	6		
朽	xiǔ	decayed, rotten; rot, decay	木	6		
佣	yōng	commission fee	人	6		
碌	lù	rough, uneven, rocky; mediocre	石	6		
迄	qì	extend, reach; until; till	辵	6		
绅	shēn	girdle; tie, bind; gentry	糸	6		
榜	bǎng	placard; list of successful exam candidates	木	6		
诵	sòng	recite, chant, repeat	言	6		
禽	qín	birds, fowl; surname;; capture	禸	6		
瞄	miáo	take aim at; look at	目	6		
幢	chuáng	carriage curtain; sun screen	巾	6		
睹	dǔ	look at, gaze at; observe	目	6		
贿	huì	bribe; bribes; riches, wealth	貝	6		
蔑	miè	disdain, disregard; slight	艸	6		
缚	fù	to tie	糸	6		
淹	yān	drown; cover with liquid, steep	水	6		
篷	péng	awning, covering; sail; boat	竹	6		
勘	kān	investigate; compare; collate	力	6		
灿	càn	vivid, illuminating; bright	火	6		
敞	chǎng	roomy, spacious, open, broad	攴	6		
蜡	là	wax; candle; waxy, glazed; maggot; as a non-simplified form sometimes used as an equivalent to 䄍, meaning imperial harvest	虫	6		
辜	gū	crime, criminal offense	辛	6		
垫	diàn	advance money, pay for another	土	6		
妒	dù	jealous, envious	女	6		
谣	yáo	sing; folksong, ballad; rumor	言	6		
枕	zhěn	pillow	木	6		
丐	gài	beggar; beg; give	一	6		
泌	mì	to seep out, excrete	水	6		
叮	dīng	exhort or enjoin repeatedly	口	6		
掷	zhì	throw, hurl, cast, fling	手	6		
